
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	0	0	3	25	18	0	0	0	0	0	425000	0	0	55	40	0	
1979	1	6	12	0	0	0	0	0	0	100	0	25000	0	0	0	5	0	
1984	3	2	33	0	0	0	0	303	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	6	0	0	0	35	64	0	0	0	0	0	27200	0	0	0	0	0	
1992	9	17	1100	0	768	2724	0	379	0	87	0	5480000	0	0	75	60	2000	
1993	6	4	2	0	0	30	0	246	0	400	0	0	0	0	0	0	0	
1995	2	1	12	0	13	40	0	0	0	0	0	35000	0	0	0	0	0	
1997	3	2	0	0	1	1	0	0	0	0	0	4500	0	0	0	0	0	
1998	8	4	0	0	35	56	0	0	0	0	0	217500	0	0	0	0	10	
1999	1	0	0	0	0	150	0	600	0	0	0	2000000	0	0	0	0	0	
2000	2	0	3	0	15	0	0	0	0	0	0	15000	0	0	0	0	0	
2001	5	5	28	0	0	0	0	51	0	0	0	0	0	0	0	0	0	
2002	6	18	10	0	0	5	0	0	0	0	0	70000	0	0	0	300	0	
2003	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2004	3	1	0	0	2	0	0	100	0	0	0	22000	0	0	0	0	0	
2005	48	18	35	1	2004	1000	0	3870	0	3103	0	4771000	0	0	100	227	0	
2006	2	2	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	
TOTAL	110	82	1235	4	2899	4090		5560		3690		13092200			230	635	2010	

