
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	30	50	184	4	0	0	0	17	0	0	0	0	0	0	0	0	0	
1973	13	45	77	0	0	0	0	33	0	0	0	0	0	0	0	0	0	
1974	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	2	19	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
1997	1	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	3	2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	3	24	0	0	0	30	0	0	0	0	0	0	0	0	0	0	
2008	19	32	77	0	0	0	0	18	0	0	0	0	0	0	0	0	0	
2009	3	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	6	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	10	11	29	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
2012	5	13	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	4	7	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	8	7	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	118	219	745	20			30	71						1				

