
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	
2000	3	4	2	0	0	0	0	115	0	10	0	0	0	0	0	0	0	
2002	1	8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	5	0	3	0	0	0	0	3500	0	0	0	0	0	0	0	0	0	
2009	4	0	8	0	0	0	300	2	0	0	0	0	0	0	0	0	0	
2010	1	3	0	0	0	500	0	0	0	80	0	0	0	0	0	0	0	
2011	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	3	0	0	0	0	0	0	41	0	0	0	0	0	0	0	
2014	6	14	0	12	47	1300	0	0	0	738	0	0	0	0	0	0	0	
TOTAL	34	44	31	15	47	1800	500	3617		869								

