
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	291	60	171	0	849	88	2130	915	0	3043	51697446	0	9	2	480	0	0	
1971	58	11	36	1	137	0	412	0	0	240	10075250	0	1	1	0	0	0	
1972	65	25	51	0	360	45	511	550	0	1455	0	0	3	0	0	0	0	
1973	139	30	100	0	385	222	1478	20	0	1733	170498974	0	4	1	12	0	0	
1974	72	27	45	0	181	75	1212	12380	0	75	181683601	0	1	1	0	0	0	
1975	41	17	11	0	311	0	0	0	0	1630	7500000	0	0	0	0	0	0	
1976	23	2	8	0	35	0	0	0	0	135	1800000	0	0	0	0	0	0	
1977	27	4	32	0	84	0	0	0	0	1348	0	0	16	1	0	0	0	
1978	20	1	31	0	6	0	0	0	0	55	4400000	0	1	0	0	0	0	
1979	72	35	93	0	89	0	543	691	0	706	500000	0	1	0	0	0	0	
1980	70	17	42	0	8	1	1	1000	0	0	5104574	0	0	1	50	0	0	
1981	106	31	52	0	18	18	436	70	0	369	23598538	0	1	1	8	0	0	
1982	15	0	47	0	82	0	0	0	0	200	2500000	0	0	0	0	0	0	
1983	7	7	11	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	1	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1985	17	9	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
1986	47	27	42	10	6	1	0	192	0	0	0	0	0	0	0	0	0	
1987	79	38	60	0	15	7	0	300000	0	0	0	0	0	2	0	2	0	
1988	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	3	4	3	0	0	0	0	0	0	0	0	0	0	0	1375	0	0	
1990	2	0	2	0	0	0	0	130000	0	0	0	0	0	0	20	0	0	
1991	12	10	9	0	24	1	0	0	0	0	2000000	0	0	0	0	0	0	
1992	4	0	0	0	0	0	0	0	0	240	0	0	0	0	70	0	0	
1993	7	0	27	0	0	0	0	117000	0	0	5000000	0	0	0	225	0	0	
1994	1	0	0	0	0	0	0	520000	0	0	0	0	0	0	0	0	0	
1995	6	0	2	0	0	0	0	1170000	0	20	0	0	0	0	12	0	0	
1996	4	0	0	0	0	0	0	0	0	0	3000000	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	9	5	3	0	2	1	0	2000	0	0	0	0	0	0	0	0	0	
1999	24	10	92	0	80	1	300	30	0	63	0	0	0	1	0	0	0	
2000	29	17	19	2	5	0	0	300	0	7312	0	0	0	0	36	0	0	
2001	15	17	1	0	31	7	120	0	0	30	0	0	0	0	475	0	0	
2002	33	20	16	0	8	0	0	0	0	128	0	0	0	1	0	0	0	
2003	54	14	34	0	0	0	0	12	0	3000	0	0	3	3	11	0	0	
2004	69	235	1463	0	2	0	0	639	0	320	0	0	3	2	35	0	0	
2005	120	72	258	0	33	19	120	350919	0	40	2400000	0	1	0	20	0	0	
2006	105	35	192	2	13	32	44	800287	0	1000	0	0	0	0	0	0	0	
2007	157	96	558	0	493	24	3661	5086	25	150	1000000	0	5	6	0	0	0	
2008	123	56	155	0	34	4	172	1000	0	776	0	0	1	6	2	0	0	
2009	64	44	124	0	228	39	803	57	45	263	0	0	2	1	0	0	0	
2010	15	11	48	0	11	2	32	0	0	0	0	0	0	0	0	0	0	
2011	13	13	15	0	1	0	0	0	0	300	0	0	0	0	300	0	0	
2012	18	16	10	0	1	0	0	511	0	138	0	0	0	0	0	0	0	
2013	52	36	109	0	7	3	0	0	0	500	0	0	0	1	0	0	0	
2014	22	13	79	0	2	7	4	10	0	4100	0	0	1	0	27000	0	0	
2015	17	16	52	0	0	3	24	80	0	0	0	0	0	0	0	0	0	
TOTAL	2136	1085	4123	15	3548	601	12003	3413749	70	29369	473758383		53	31	30131	2		

