
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	67	2	1	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	
1973	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	15	5	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17000	0	0	
1980	10	4	0	0	0	0	200	0	0	0	0	0	0	0	24800	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	3800	0	0	35000000	0	0	0	0	0	0	
1988	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	1	0	0	0	75	300	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	18	25	0	0	0	0	760	5000	0	0	3200000	0	106	0	0	0	0	
1997	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	9	5	1	0	0	0	0	0	0	0	400000000	0	0	0	0	0	0	
1999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	24	24	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	
2001	8	5	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	
2002	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	61	42	1	0	0	0	120000	1262	0	500	0	0	255	0	525000	0	0	
2008	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	3	1	2	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	
2010	22	94	0	0	0	0	0	97000	0	0	0	0	0	0	0	0	0	
2011	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	370	316	7			75	131260	108712		510	438200000		364		566950			

