
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	
1972	2	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	5	2	16	0	0	0	0	0	0	0	0	0	0	0	0	300	0	
1979	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	8	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	6000	0	
1993	1	0	300	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	
1994	3	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18006	0	0	
1998	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	1	0	0	0	0	0	500	0	0	0	0	1	0	0	0	0	
2005	17	3	3	0	0	0	400	3000	0	0	0	0	1	0	1	0	0	
2006	10	1	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	
2007	22	4	0	0	0	0	500	1300	0	0	3340	0	1	0	200000	0	0	
2009	15	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	154	18	748				900	34800			3340		3		291007	6301		

