
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	402.336	
1995	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	11	2	10			1	4										402.34	

