
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	5	4	0	0	0	30	200	12004	0	0	0	0	0	0	126	0	0	
2008	6	5	8	0	2	0	10	13	0	0	0	0	0	0	0	0	0	
2009	4	5	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
2011	2	8	0	0	0	135	2290	15	0	0	0	0	0	0	0	500	0	
2012	7	9	9	0	0	0	0	45	0	0	0	0	1	0	0	40	0	
TOTAL	27	32	25		2	165	2500	12082					1		126	540		

