
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	8	1	1	0	17	0	0	0	0	0	0	0	0	0	0	0	800	
1971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	9	9	14	0	25	0	0	0	0	0	0	0	0	0	0	0	0	
1974	17	0	0	0	43	0	0	0	0	950	0	0	0	0	0	0	182	
1975	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	2	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	
1977	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	30	
1978	5	0	127	0	16	0	85	120	0	0	0	0	0	0	0	0	0	
1979	8	5	4	0	12	0	100	500	0	0	0	0	0	0	0	0	0	
1980	7	5	0	0	0	0	34	0	0	0	0	0	0	0	0	0	500	
1981	9	4	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	
1982	3	0	0	0	1	0	0	35	0	0	0	0	0	0	0	0	0	
1983	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	22	44	1	0	44	6	0	0	0	0	0	0	0	1	0	0	0	
1985	7	0	0	0	23	0	0	0	0	0	0	0	0	0	150	0	200	
1986	16	29	1	0	79	103	1415	345	0	0	0	0	0	0	0	0	0	
1987	9	0	0	0	4	200	5	0	0	0	0	0	0	0	0	0	0	
1988	18	0	0	0	10	38	245	0	0	0	0	0	0	0	0	0	620	
1989	3	4	0	4	4	0	47	0	0	0	0	0	0	0	0	0	0	
1990	9	0	0	0	6	8	22	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	5	80	25	0	1	20	200	1285	0	0	600000	0	0	0	0	0	0	
1993	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	
1995	4	1	0	0	19	0	0	200	0	0	0	0	0	0	0	0	0	
1996	2	11	0	0	86	52	1120	70	0	0	0	0	0	0	0	0	0	
1997	6	0	0	0	69	22	0	100	0	0	0	0	0	0	0	0	0	
1998	7	101	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
1999	3	0	0	0	0	1	700	0	0	0	0	0	0	0	0	0	20000	
2001	7	1	0	0	19	15	640	50	0	0	0	13	0	0	0	0	0	
2002	7	10	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
2003	8	24	0	145	185	33	5822	68	0	0	0	0	0	0	0	0	0	
2004	21	4	38	0	43	52	1955	0	0	200	0	0	1	0	0	0	0	
2005	12	1	0	2	4	53	493	0	0	0	0	0	0	0	0	0	30	
2006	25	0	0	0	10	47	1920	0	0	0	0	0	0	0	241	294	0	
2007	23	11	5	0	55	1	90	24054	0	0	0	0	0	0	0	0	400	
2008	46	16	31	5	84	106	8555	11	0	0	0	0	1	0	220	0	290	
2009	13	2	0	0	163	189	3815	300	0	300	0	0	0	0	867	0	250	
2010	16	11	10	0	73	226	2685	619	0	0	0	0	0	0	36	0	150	
2011	14	4	0	0	637	863	12305	485	0	0	93000000	647280000	3	0	1703.5	0	100	
2012	15	4	0	0	25	71	9235	1245	0	0	0	0	0	0	4053	0	0	
2013	9	0	0	0	0	672	16300	0	0	0	0	0	1	0	537	0	0	
2014	3	0	0	0	4	53	8820	0	0	0	0	0	1	0	1282	0	0	
2015	2	0	0	0	0	35	170	0	0	0	0	0	0	0	152	0	0	
TOTAL	423	392	271	156	1763	2867	76813	29537		1450	93600000	647280013	9	1	9241.5	294	24552	

