
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1996	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5499	0	0	
1997	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3587	0	0	
1998	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	
1999	6	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	
2000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13089	0	0	
2001	63	0	0	0	0	0	20283	0	0	0	0	0	0	0	22580	0	0	
2002	77	0	0	0	0	0	842563	0	0	0	0	0	0	0	55218	0	0	
2003	34	0	0	0	0	0	0	0	0	0	0	0	0	0	14924	0	0	
2004	532	0	0	0	0	0	455327	0	0	0	0	0	0	0	480555.5	0	0	
2005	67	0	0	0	0	0	1024335	0	0	0	0	0	0	0	1504	0	53	
2006	64	0	0	0	0	0	100592	0	0	0	0	0	0	0	13299	0	0	
2007	49	0	0	0	0	0	0	0	0	0	0	0	0	0	17141	0	50	
2008	48	0	0	0	0	0	31706	0	0	0	0	0	0	0	35567	0	0	
2009	28	0	0	0	0	0	0	0	0	0	0	0	0	0	22034.5	0	0	
2010	25	0	0	0	0	0	0	0	0	0	0	0	11	0	10578	0	1007	
2011	22	0	0	0	0	0	358	0	0	0	0	0	0	0	7457	0	0	
2012	108	0	0	0	0	0	25563	0	0	0	0	0	0	0	42488.5	18	0	
2013	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3310	0	0	
2014	32	0	0	0	0	0	14631	0	0	0	0	0	0	0	27279	0	0	
2015	16	0	0	0	0	0	0	0	0	0	0	0	0	0	41134	0	0	
2016	122	0	0	0	0	0	250859	151834	0	0	0	0	0	0	20282	1135	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
2018	16	0	0	0	0	0	52216	52216	0	0	0	0	0	0	96929	0	0	
2019	16	0	0	0	0	0	0	0	0	0	0	0	0	0	97494	0	0	
TOTAL	1375						2818433	204050					11		1033461.5	1154	1110	

