
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	17	16	10	35	0	0	36	25	0	25	0	0	0	0	0	0	0	
1971	6	5	1	6	0	0	2	0	0	0	0	0	0	0	0	0	0	
1973	3	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	10	11	7	0	0	0	0	0	0	0	500000	0	0	0	0	0	0	
1978	6	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	9	6	38	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
1982	13	8	22	23	0	0	4	0	0	0	0	0	0	0	0	0	0	
1983	21	18	25	10	0	0	11	40	0	0	0	0	0	0	0	0	0	
1985	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	10	8	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	
1987	10	36	11	52	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	6	9	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	27	32	60	22	0	0	9	38	0	9	0	0	0	0	0	0	0	
1991	20	32	69	23	0	0	9	15	0	0	0	0	0	0	0	0	0	
1993	5	9	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
1996	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	5	15	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	1	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	
1999	7	0	46	0	0	0	0	0	0	210	0	0	0	0	0	0	0	
2000	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	8	7	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	7	6	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	8	4	11	3	0	0	2	126	0	0	0	0	0	0	0	0	0	
2004	18	21	112	2	0	0	0	35	0	0	0	0	0	0	0	0	0	
2005	10	57	84	6	0	0	0	14	0	0	0	0	0	0	0	0	0	
2006	7	12	43	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	6	3	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	4	9	37	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	3	1	1	30	0	0	0	0	0	27	0	0	0	0	0	0	0	
2013	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	
TOTAL	273	395	985	232			73	1504		298	500000					1	25	

