
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	10	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	
1973	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	4500	0	
1974	7	0	0	0	0	0	64	0	0	0	0	0	0	0	964	0	0	
1976	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	
1980	9	4	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	9	0	0	0	0	0	0	10500	0	0	0	0	0	0	0	0	0	
1983	11	0	0	0	0	0	0	0	0	0	0	10000000	0	0	4505	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	10	0	0	0	0	0	0	0	0	0	0	800000000	0	0	0	0	0	
1989	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	
1991	2	1	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	
1993	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	10	0	0	0	0	120	0	3420	0	0	0	2000000	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	4	1	0	0	0	0	641	0	0	0	0	500	0	0	0	0	0	
2000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	3	0	0	0	0	0	50041	0	573	0	0	0	0	0	0	0	
2003	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	
2007	13	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	168	42	14			120	705	64581		573		812000500			12669	5000		

