
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	6	0	0	0	2	0	0	807	0	0	0	0	1	0	0	0	40	
1973	4	3	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	26	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	
1979	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	15	20	3	27	0	3	274	0	0	0	0	0	0	0	0	0	0	
1981	8	6	1	0	15	0	168	0	0	50	0	0	0	0	0	0	0	
1982	3	0	0	0	0	0	0	0	0	0	0	18000000	0	0	0	0	0	
1983	16	1	0	0	1	207	1100	2800	800	40	0	5500000	0	0	0	0	0	
1985	3	1	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	
1986	4	0	0	0	13	38	41	0	0	0	0	2500000	0	0	0	0	0	
1987	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	13	6	1	10	0	0	0	10	0	0	0	12000000	0	0	0	0	0	
1995	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	
1996	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	15	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	
1998	6	3	0	0	0	0	0	0	0	0	0	45000000	0	0	0	0	400	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	11	7	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	9	8	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	4	1	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	
2007	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	4	0	0	0	0	6	0	22	0	0	53079	25000000	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	4	0	1	0	0	0	0	0	0	0	133400	0	0	0	0	0	0	
2014	7	0	0	0	0	0	0	0	0	0	470000	0	0	0	0	0	0	
TOTAL	188	63	18	44	31	256	1668	3889	800	90	676479	108000000	1				440	

