
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	1	0	0	0	0	0	0	0	0	0	500000	0	0	0	0	0	
1972	4	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	5	10	30	0	0	30	0	0	0	0	0	0	0	
1979	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	8	0	26	0	0	26	0	0	0	0	0	0	0	
1997	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
2002	4	0	0	0	0	27	52	0	0	52	0	0	0	0	0	0	0	
2003	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
2006	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	
2010	8	0	0	0	0	90	360	0	0	0	0	0	0	0	0	0	0	
2011	7	0	0	0	0	58	97	0	0	0	0	0	0	0	0	0	0	
2012	4	0	0	0	0	46	184	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	300	
2014	3	1	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	
2015	5	3	2	0	0	12	156	0	0	0	0	0	0	0	0	0	0	
2016	3	0	0	0	0	5	12	0	0	8	47821	26775000	1	0	0	0	5950	
2017	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	62	8	2		20	389	960	80		116	47821	27275000	1				6250	

