
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	
1987	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	
1989	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	32	0	
1991	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	
1997	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	21	0	
2000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	5	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
2011	15	16	22	0	0	0	17	0	0	4	0	0	0	0	0	54	0	
TOTAL	39	39	48				18			7						312		

