
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1967	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1968	3	4	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
1969	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	4	17	0	0	0	0	21	0	0	0	0	0	0	0	0	0	
1994	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	3	8	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	3	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	19	93	83					24										

