
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1966	2	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	0	0	0	0	0	350000	0	0	0	0	0	0	0	
1968	10	24	5	0	100	0	540	2	0	0	0	4000	0	0	0	0	0	
1970	25	0	0	7	13	1000	5000	0	0	0	0	200000	0	0	0	0	0	
1971	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	11	13	0	7	0	0	0	0	0	100	0	2100000	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	3	0	0	0	13	0	100	0	0	0	0	200000	0	0	0	0	0	
1975	55	10	0	3	285	50	0	0	0	6200	0	11060000	0	0	7494	0	0	
1977	8	2	2	0	44	70	0	0	0	500	0	50000	0	0	0	0	0	
1978	4	0	0	0	0	0	0	0	0	50	0	2000000	0	0	6250	0	0	
1979	15	2	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	32	29	2	2	6	100	0	13000	0	0	0	500000	0	0	4550	0	0	
1982	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	9	1	6	0	100	1000	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	20	10	0	15	0	0	0	0	0	0	0	0	0	0	2812.5	0	0	
1988	39	11	0	2	125	0	0	0	0	0	0	240000	0	0	12324.8	0	0	
1989	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	17	2	5	0	100	0	0	0	0	0	0	1596015	0	0	615	0	0	
1991	15	0	1	8	11	0	0	0	0	0	0	0	0	0	31250	0	0	
1992	10	5	0	0	1	0	100000	12500	0	0	0	24000000	0	0	0	0	0	
1993	44	41	3	15	207	350	1305	2000	0	358	0	400000	1	0	1437.5	0	0	
1994	8	22	0	0	10	1000	520	830	0	0	0	0	0	0	0	0	0	
1995	11	12	3	0	5	1	0	0	0	200	0	0	0	0	625	0	0	
1996	15	2	0	2	12	0	0	0	0	0	0	30000000	0	0	0	0	0	
1997	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9375	0	0	
1998	54	7	0	0	400	600	0	0	0	0	0	0	0	0	22375	0	0	
1999	14	4	0	2	15	90	500	0	0	300	0	0	0	0	119	0	0	
2000	17	1	0	2	0	40	225	0	0	0	0	0	0	0	0	0	0	
TOTAL	464	231	28	65	1447	4328	108190	28332		357708		72350015	1		99227.8			

