
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	1	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	
1989	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	400000000	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	0	29	0	10	57	0	0	0	0	0	0	0	0	0	0	0	
1997	5	2	10	0	15	34	45	0	0	45	0	0	0	2	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	3	30	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	3	0	17	0	144	0	0	144	0	0	0	0	0	0	0	
2002	5	0	0	0	2	7	0	750	0	0	15	0	0	0	300	0	0	
2004	1	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	
2005	4	0	0	2	0	45	185	40	0	0	0	0	0	0	0	0	0	
2006	3	0	0	0	0	29	150	115	0	0	0	0	0	0	0	0	0	
2007	5	0	0	0	0	1	0	0	0	0	0	0	1	0	15	0	0	
2008	25	0	0	0	27	538	74	1268	0	155	0	0	1	0	0	0	0	
2009	8	0	0	0	2	90	0	606	0	9	0	0	1	0	0	0	0	
2010	30	1	2	0	0	1	23	1870	0	26	0	0	0	0	0	0	0	
2011	53	1	29	0	25	491	18	2802	0	61	0	0	11	0	88	0	0	
2012	92	1	1	0	19	465	88	2301	0	64	0	0	17	0	3.0016	0	0	
2013	59	0	5	0	4	187	42	1176	0	0	0	0	8	0	8	0	0	
2014	62	2	3	0	5	257	72	1404	0	11	0	0	2	0	0	0	220	
2015	75	0	2	0	11	306	42	1099	0	1	0	0	1	0	0	0	0	
2016	62	1	4	0	8	204	0	845	0	13	0	0	0	0	66.01	0	0	
2017	85	0	1	0	7	352	52	1656	1	137	0	0	2	0	0	0	9	
2018	74	0	13	0	16	225	55	718	0	12	0	0	3	0	0	0	133	
2019	23	0	0	0	2	16	12	374	0	20	0	0	5	0	0	0	11	
TOTAL	687	9	102	2	203	3338	1002	17039	1	698	15	400000000	52	2	480.01		373	

