
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1916	2	1	6	0	1	0	7	0	0	0	0	0	0	0	0	0	0	
1921	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1923	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1925	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
1926	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1927	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1928	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1930	3	4	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	
1931	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1932	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1933	2	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1934	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1935	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1936	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1937	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1938	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1939	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1940	5	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1941	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1942	4	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1943	11	9	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
1945	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1946	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1948	3	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1950	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1952	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1953	8	12	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1956	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1957	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1958	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1959	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1961	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	4	3	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1965	6	4	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1966	7	12	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1967	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1968	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	1	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	
1970	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	5	6	6	0	1	0	3	0	0	0	0	0	0	0	0	0	0	
1972	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	4	10	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
1974	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	4	22	3	0	1	0	7	0	0	0	0	0	0	0	0	0	0	
1976	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	4	4	5	0	0	1	0	5	0	0	0	0	0	0	0	0	0	
2009	2	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
2010	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	7	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	180	258	121	6	26	9	41	9										

