
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1934	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1935	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	
1936	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
1937	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1938	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
1939	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1940	16	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	
1941	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	
1942	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1943	8	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	
1944	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1945	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1948	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	7	0	1	0	0	0	0	0	0	0	0	0	0	0	464.5	0	0	
1952	6	0	0	0	12	0	0	0	0	0	0	0	0	0	123	0	0	
1953	5	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	
1954	13	0	0	0	1	0	0	0	0	0	0	0	0	0	387	0	0	
1955	5	0	0	0	1	0	0	0	0	0	0	0	0	0	200	0	0	
1957	6	0	0	0	5	0	0	0	0	0	0	0	0	0	35	0	0	
1958	7	0	0	0	4	0	0	0	0	0	0	0	0	0	166	0	0	
1959	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	
1960	20	0	0	0	3	165	0	0	0	0	0	0	0	0	1931.6	0	0	
1961	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
