
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1906	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1915	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1922	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1925	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1932	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1934	7	56	0	0	162	1	0	0	0	0	0	0	0	0	0	0	0	
1971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	3	0	0	0	0	10	0	8100	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	5	0	0	0	0	44	0	220	0	0	0	0	0	0	0	0	0	
2006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	6	4	0	0	0	19	0	96	0	0	0	0	0	0	0	0	0	
2009	47	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	22	4	0	2	0	4	0	20	0	0	0	0	0	0	0	0	145	
2011	36	17	10	2	0	220	0	1101	0	500	0	0	0	0	0	0	300	
2012	4	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
2013	2	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	173	110	19	7	165	299	15	9541		500							445	

