
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1902	1	77	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	
1903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1907	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1918	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	
1919	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1920	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1921	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1924	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1932	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1934	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1936	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1941	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1942	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1960	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	100	0	500	500	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	40	0	200	0	200	0	0	0	0	0	0	0	
1995	3	0	0	0	1	80	5	0	400	100	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	500	0	500	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	15	0	75	0	0	0	0	0	0	0	0	0	
1999	5	0	1	0	1	46	0	580	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	10	15	55	75	0	50	0	0	0	0	0	0	0	
2005	2	0	0	0	0	12	0	60	0	0	0	0	0	0	0	0	0	
2006	23	0	0	0	24	261	197	12734	0	619	0	0	2	0	0	0	0	
2007	5	3	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	7000	0	0	0	0	0	
2010	4	1	2	2	20	48	340	35	0	0	0	0	0	0	0	0	0	
2011	23	0	3	0	304	1520	1520	9620	0	30	0	0	0	0	21	0	80	
2012	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	116	99	12	10	461	2054	2617	24396	400	1499		7000	2		21		80	

