
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1989	8	108	2	0	70	0	0	0	1095	0	0	0	0	0	0	0	0	
1991	4	0	2	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	0	0	0	45	0	0	5	0	0	0	0	0	0	0	0	0	
1994	2	0	3	0	16	0	0	95	0	0	0	0	0	0	0	0	0	
1995	13	10	63	0	37	0	0	0	0	0	0	0	0	0	0	0	0	
1996	8	47	27	0	29	0	0	120	0	0	0	0	0	0	0	0	0	
1997	5	53	42	0	568	0	0	61592	0	0	0	0	0	0	0	0	0	
1998	6	63	23	0	32	0	0	239	224	0	0	0	0	0	0	165	0	
1999	20	1	7	0	106	0	0	0	0	0	0	0	0	0	0	0	0	
2000	39	8	46	0	963	0	0	0	176	0	0	0	0	0	100000	235	0	
2001	43	8	51	0	328	0	0	656	100	0	0	0	0	0	95170.5	10	0	
2002	25	12	130	0	111	0	0	0	0	0	0	0	0	0	0	133	0	
2003	28	11	18	0	216	0	0	16	18	0	0	0	0	0	18	72	0	
2004	37	14	19	0	171	0	0	0	4	0	0	0	0	0	2	50	0	
2005	45	6	15	0	286	0	0	415	1317	0	0	0	0	0	15.5	43	0	
2006	21	12	13	0	265	0	0	773	1998	0	0	0	0	0	0	64	0	
2007	128	82	54	0	263	0	0	232	150	0	0	0	0	0	60	162	0	
2008	112	128	18	0	1	0	0	11812	165	0	0	0	0	0	219.5	152	0	
2009	58	4	0	0	75	0	0	250	12	0	0	0	0	0	75	52	0	
2010	89	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	
2011	70	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	
2012	2	0	0	0	36	0	0	191	0	0	0	0	0	0	0	0	0	
2014	2	8	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	
2015	11	22	0	0	0	1579	0	0	0	0	0	0	0	0	0	0	0	
2016	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	3	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	3	65	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	5	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	792	854	537		3668	1613		76717	5259						195560.5	1138		

