
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1999	1	0	0	0	0	0	35000	0	0	0	13110000	96000000	0	0	750000	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	1500	0	0	0	0	5000000	0	0	520	0	0	
2004	3	0	0	0	0	0	0	0	0	0	0	0	0	0	845	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	
2010	4	0	0	0	0	0	400	0	0	0	0	0	0	0	2016	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	
2013	3	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	0	19	0	0	0	0	0	0	0	502	0	0	
TOTAL	18						39969				13110000	101000000			753973			

