
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1972	5	1	0	0	0	1500	25	9020	0	0	0	64	0	0	2.43	0	7.62	
1973	1	0	0	0	0	0	0	500	0	500	0	250	0	0	0	0	0	
1977	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	0	0	0	0	25	0	125	0	0	0	0	0	0	400	0	0	
1984	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
1988	4	0	0	0	0	110	0	550	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	
1991	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	1	0	60	300	0	0	0	0	0	0	0	0	0	
1993	5	0	0	0	0	0	200	3500	0	20	0	0	0	0	0	0	0	
1995	3	0	0	0	0	0	870	870	0	0	0	0	0	0	0	0	0	
1996	4	0	0	0	10	0	0	26500	20	0	0	0	0	0	0	0	0	
1997	4	0	0	0	0	0	7200	7000	0	0	0	0	0	0	0	0	0	
1998	4	0	0	0	0	45	225	12000	0	0	0	0	0	0	3440	0	0	
1999	7	0	0	0	0	0	0	200	0	0	0	0	0	0	0	370	0	
2000	6	0	0	0	24	500	0	5750	5000	0	250000	50000000	0	0	0	150	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
2002	3	0	0	0	0	100	0	7180	0	0	0	0	1	0	0	0	0	
2003	6	0	0	0	0	32892	0	0	0	0	0	0	0	0	0	0	0	
2004	3	0	0	0	0	0	0	0	0	0	48500	9700000	0	0	0	0	0	
2005	28	8	1478	0	0	69562	275561	354717	0	5078	326507921.42	4430016780.5	0	0	9761.43	214672	667.3726	
2006	17	0	0	0	0	7556	37780	0	0	0	209305500	285104160.3	16	0	11812.773	104819	57.29	
2007	12	0	0	0	0	0	0	0	0	10	0	0	0	0	12.14	0	0	
2008	11	0	0	0	0	0	60	0	0	0	1500	300000	3	2	44.515	0	0	
2009	11	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	
2010	2	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	
2011	30	0	0	0	13	12	3250	60	0	300	2500000	500000000	0	0	404.6	0	0	
2012	34	1	0	0	2	7	0	0	0	0	0	0	0	0	0	0	7	
2013	23	0	0	0	0	20	0	100	0	0	0	0	44	0	0	0	2	
TOTAL	250	10	1478		50	112329	325431	428672	5020	5908	538613421.42	5275121254.8	69	2	26039.89	320011	741.28	

