
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1975	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1986	6	0	3	0	6	1	2	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	5	50	0	0	0	10	0	0	0	0	0	0	0	
1992	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	2010162	0	0	0	0	0	0	
1997	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	7	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	
TOTAL	24		3		11	66	25			10	2010162							

