
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	7	30	3	0	3	0	0	0	0	0	0	0	0	0	0	3000	
1988	1	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	
1991	2	3	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	
1992	1	0	10	0	0	0	0	85	0	0	0	0	0	0	0	0	0	
2003	1	0	20	0	0	1	0	0	0	15	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	
2006	6	0	24	0	2	56	0	0	0	103	0	0	1	0	0	0	21000	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	
2010	4	0	0	8	0	4	0	24	0	4	0	0	0	0	0	0	0	
2011	1	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	
TOTAL	19	10	84	11	2	66		123		149			2				26000	

