
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	2	0	3	0	0	0	0	0	0	15	0	0	0	0	0	0	0	
1985	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1989	10	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	7000	
1990	1	0	0	0	0	0	0	8	0	36	0	0	0	0	0	0	0	
1991	3	0	0	0	0	63	0	9	0	27	0	0	0	0	0	0	0	
1992	55	5	255	0	62	229	0	96	0	1697	0	0	0	0	0	0	7000	
1993	9	0	15	0	0	0	0	0	0	30	0	0	0	0	0	0	0	
2000	17	7	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	
2003	12	7	983	0	0	18	0	0	0	25	0	0	0	0	0	0	4000	
2005	3	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	
2006	3	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	20	0	65	0	1	4	0	15	0	134	0	0	0	0	0	0	0	
2009	7	0	49	0	0	10	0	268	0	1211	0	0	0	0	0	0	21000	
2010	11	0	0	25	0	0	0	17	0	17	0	0	0	0	0	0	0	
2012	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	164	19	1374	25	64	324		593		3349							39000	

