
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1992	2	4	102	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	5	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	
1997	2	7	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	2	40	95	0	0	8	0	0	0	23	0	300000	0	0	0	0	0	
2000	2	3	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	
2001	1	2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	96	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	3	6	857	0	0	2	600	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	
2007	11	7	738	0	0	0	0	2954	0	0	0	928535200	0	0	0	143	0	
2008	11	3	214	0	0	0	0	233	0	0	0	83384550	0	0	0	0	0	
2009	23	1	693	0	0	0	0	680	0	0	0	112500000	0	0	0	0	0	
2010	36	11	3029	0	1	144	0	3549	0	0	0	7250411000	0	0	0	27	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	100	186	7122		1	155	774	7535		23		8375130750				170		

