
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	1	0	6	0	95	0	257	0	0	0	0	150000000	0	0	0	0	0	
1991	1	0	0	0	2	0	12	0	0	0	0	15000000	0	0	0	0	0	
1993	1	0	0	0	0	8	0	0	0	0	0	19407000	0	0	0	0	0	
1994	2	0	0	0	0	0	0	0	0	0	0	54981520	1	0	0	0	0	
1995	3	0	0	0	0	1	6	0	0	0	0	126125079	0	0	0	0	0	
1996	4	0	0	0	43	4	0	535	0	0	0	324968700	0	0	0	0	0	
1997	2	0	0	0	0	2	0	0	0	0	0	43500000	0	0	0	0	0	
1998	6	0	0	0	0	66	0	63	0	0	0	126672950	0	0	0	0	0	
1999	1	0	0	0	0	1	0	4	0	0	0	700000	0	0	0	0	0	
2000	59	8	11	0	4	281	58	851	0	0	0	4577905367	0	0	0	0	0	
2001	5	2	3	0	1	12	82	544	0	0	0	2000000	0	0	0	0	0	
2002	13	0	0	0	40	0	90	712	0	0	0	247431000	0	0	0	0	0	
2003	12	4	2	0	2	19	1	6542	0	0	0	2539438000	0	0	71157	0	0	
2004	27	0	0	0	14	47	74	1490	0	0	0	10321830000	3	0	0	0	0	
2005	29	1	0	0	19	44	359	2340	0	0	0	3524193010	0	0	0	0	0	
2006	129	4	4	0	120	158	8	3667	1	0	0	6091661963.3	0	0	0	0	0	
2007	128	5	17	0	284	57	65	6012	0	0	0	8885523509	10	0	0	0	0	
2008	266	0	5	0	422	112	22	9540	0	0	0	36477084107	0	2	0	0	0	
2009	244	4	0	0	326	74	17	5363	0	0	0	20579383093	0	0	0	0	0	
2010	365	10	4	0	387	106	7	6851	0	0	0	62365770270	7	0	96730	0	0	
2011	247	6	0	0	114	20	2	3197	0	0	0	13719847837	3	0	17637	0	0	
2012	114	0	4	0	64	46	0	2730	74	0	0	62792046664	2	0	0	0	0	
TOTAL	1659	44	56		1937	1058	1060	50441	75			232985470069.3	26	2	185524			

