
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	1	0	0	0	0	0	0	0	0	0	0	660000000	0	0	0	0	0	
2005	2	0	0	0	0	65	0	410	0	0	0	20220000	0	0	0	0	0	
2007	7	0	0	0	0	0	0	522	0	0	0	3253234318	0	0	54	0	0	
2008	13	0	0	0	9	0	0	285	0	0	0	12756227692.294	0	0	707.69	0	0	
2009	4	2	0	0	0	8	0	105	0	0	0	3747000000	0	0	68.75	0	0	
2010	1	0	0	0	11	0	0	0	0	0	0	13825000	0	0	0	0	0	
2011	3	0	0	0	0	0	0	525	0	0	0	790084000	0	0	0	0	0	
2012	1	0	0	0	0	0	0	422	0	0	0	255490000	0	0	0	0	0	
TOTAL	32	2			20	73		2269				21496081010.29			830.44			

