
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4325	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4542	0	0	
1994	3	7	0	0	0	2	0	0	0	0	0	0	0	0	2538	0	0	
1995	13	0	0	0	0	0	0	771	0	0	0	12286400	0	0	3718.71	0	0	
1996	22	8	13	0	0	26884	600	57420	0	0	0	294590210	0	0	62907.87	11	0	
1997	38	7	1	0	0	0	0	546607	0	0	0	114500130	0	0	38695.339	0	0	
1998	15	0	0	0	0	0	0	0	0	0	0	101000000	0	0	80	0	0	
1999	1	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	12	18	5	0	0	1478	49	11040	0	0	0	474000000	0	0	62291.51	0	0	
2001	12	0	0	0	0	4	230	0	0	0	0	541784000	0	0	37.81	0	0	
2002	19	0	0	0	6	0	1891	36822	0	0	0	442405000	1	0	2586.38	623	0	
2003	8	0	0	0	0	3	703	20	0	0	0	2027250000	8	0	52.25	0	0	
2004	14	0	4	0	29	0	1768	4550	0	5	0	2954414500	0	0	884.93	12	0	
2005	23	5	0	0	8	5	699	172482	0	0	0	188696000	0	0	345071.53	373	1000	
2006	63	1	1	0	11	18	241	42647	55	12	0	2243859137.196	1	0	3543.66	94	21	
2007	74	2	3	0	231	13206	52	111583	0	1551	160	326885653000	2	1	73891.23	59	18497	
2008	402	30	48	0	1408	5309	243994	698245	3979	4	52300030	3684274149236.776	55	3	90092.415	1202	1213.4	
2009	141	28	45514	0	1006	4708	191999	266765	0	3	0	697450908904	4	0	44553.8	802	78	
2010	168	9	1	2	106	1447	0	195741	0	0	0	325662107694	45000002	0	70640.6	342	2217548717.606	
2011	225	14	0	2	12603	4419	21778	1253920	657	0	7885505.68	161519955622	201	13	376722.582	8034	67	
2012	31	19	12	31	87	0	78	59958	0	0	0	13054901921	0	0	1120.56	0	0	
TOTAL	1286	148	46442	35	15495	57483	464082	3458571	4691	1575	60185695.68	5218242461754.97	45000274	17	1188296.18	11552	2217569594.01	

