
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1975	2	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1983	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1984	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	3	25	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	
1993	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	22	14	121			3		1000										

