
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1972	3	0	5	10	1500	0	6000	25000	0	0	0	0	0	0	500	0	0	
1990	1	0	0	0	0	0	0	22000	0	0	0	0	0	0	0	0	0	
1993	2	12	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	
1995	1	0	5	0	0	70	0	0	0	0	0	0	0	0	0	0	0	
1998	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	2	1	0	2	30	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	2	10	3	0	2	20	0	0	27	460	0	0	0	0	0	0	0	
2004	5	1	1	0	2	450	0	100	8	0	0	0	0	0	20	0	0	
2005	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	4	0	0	0	102	111	200	0	0	0	0	0	0	0	0	0	0	
2010	5	55	0	78	1057	5000	15700	500	0	500	0	0	0	0	40000	0	0	
2011	7	1	12	0	6	590	0	1350	0	85	0	0	3	0	0	0	0	
TOTAL	36	88	44	97	2703	6271	21907	48950	35	1045			3		40520			

