
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	18	32	88	1	7	25	0	0	0	0	0	0	0	0	0	0	0	
1971	20	29	67	0	8	10	0	64	0	0	0	5050000	1	0	0	0	0	
1972	23	40	787	200	28	53	0	0	0	0	0	7730000	0	0	0	0	0	
1973	9	27	85	1	1	4	0	0	0	0	0	250000	0	0	0	0	0	
1974	40	17	92	0	3	9	0	100	0	0	0	3300000	1	0	0	0	0	
1975	33	19	108	0	4	15	0	0	0	0	0	402000	0	0	0	0	0	
1976	13	15	132	2	6	77	0	0	0	100	0	2580000	1	0	0	0	0	
1977	23	8	257	0	5	14	0	134	0	0	0	207155000	0	1	0	0	0	
1978	22	56	253	3	3	21	0	0	0	0	0	24300000	0	1	0	0	0	
1979	23	23	148	0	3	1	7	200	0	2600	0	57380000	0	0	0	0	0	
1980	22	31	292	7	12	4	5000	450	0	0	0	150000000	0	0	0	0	0	
1981	13	9	52	0	1	3	0	0	0	0	0	2000000	0	0	0	0	0	
1982	17	40	91	14	4	23	0	0	0	50000	0	0	0	0	0	0	0	
1983	29	96	805	1	7	343	0	10	0	21000	0	35500000	2	0	0	0	0	
1984	20	19	190	30	6	16	0	0	0	2390	0	130000000	1	0	15	0	0	
1985	14	24	147	4	7	1	0	41	0	0	0	935000000	0	0	0	0	0	
1986	29	33	543	0	5	1	0	0	0	80	3000000	100000000	0	0	0	0	0	
1987	18	16	55	0	6	4	0	0	0	5000	0	500000000	0	0	0	0	0	
1988	17	140	288	54	25	1	0	0	0	50000	0	150000000	0	0	0	0	0	
1989	9	13	146	0	10	1	0	0	0	0	0	350000000	0	0	0	0	0	
1990	15	28	126	1	40	24	0	0	0	4500	0	0	1	0	4	0	0	
1991	9	6	52	0	40	0	0	1513	0	1600	0	0	0	0	0	0	0	
1992	33	224	1715	74	813	476	15000	1484	0	0	1000000000	0	0	0	0	0	12500	
1993	20	16	93	0	5	20	0	0	0	0	0	850000	0	0	0	0	0	
1994	31	38	189	0	6	15	0	200	0	0	0	1000000	0	0	5	0	0	
1995	6	7	10	0	6	0	0	26	0	0	0	0	1	0	0	0	0	
1996	9	20	52	0	2	1	0	0	0	250	0	0	0	0	0	0	0	
1997	7	11	39	0	1	1	0	0	0	200	0	0	0	0	0	0	0	
1998	3	8	12	0	0	150	0	0	0	0	0	0	0	0	0	0	0	
1999	23	68	460	0	7	48	0	160400	0	206	0	0	1	0	100000	0	0	
2000	31	26	589	3	3	38	0	7	0	0	0	65300000	1	0	0	0	0	
2001	37	37	204	3	20	23	0	0	0	0	0	12000000	1	0	0	0	0	
2002	25	40	110	0	9	21	0	20	0	3020	0	0	0	0	0	0	0	
2003	10	85	156	82	16	1859	3500	5000	700	2385	0	10000000	0	0	0	0	0	
2004	29	28	153	0	2	11	0	0	0	720	0	5000000	1	0	300	0	0	
2005	43	64	207	0	20	100	0	45500	0	2950	0	1000000	0	0	5.5	20	20	
2006	44	124	172	0	3	160	0	20000	0	13490	0	25000000	0	0	0	0	0	
2007	50	54	359	1	20	146	0	0	0	425	0	7000000	2	0	0	0	0	
2008	32	49	251	0	1	23	0	13	0	5100	0	0	1	0	0	0	0	
2009	28	16	133	7	3	36	0	0	0	0	0	0	1	0	0	0	0	
2010	70	59	157	10	118	972	0	750	0	1010	0	0	0	1	0	0	0	
2011	72	41	219	2	6	76	0	29000	0	3430	0	0	2	1	0	0	0	
2012	51	34	145	0	11	140	0	1	0	0	0	0	3	0	0	0	0	
2013	36	125	537	0	6	78	300	0	0	1402	0	0	1	1	0	0	0	
TOTAL	1126	1895	10766	500	1309	5044	23807	264913	700	171858	1003000000	2787797000	22	5	100329.5	20	12520	

