
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	86	72	277	0	327	20	1231	574	0	0	0	8289000	1	0	0	0	0	
1971	57	25	68	0	251	4	500	0	0	500	0	103553000	1	0	0	0	0	
1972	49	10	261	0	317	1	654	0	0	5200	0	507540000	0	0	0	0	0	
1973	13	4	7	0	35	37	100	0	0	0	0	1505750000	0	0	0	0	0	
1974	80	79	286	3	709	12	3192	16	0	0	0	731406500	2	1	0	36	0	
1975	72	30	125	0	104	137	735	200	0	500	30000	34279500	0	1	0	0	0	
1976	39	14	104	0	264	9	0	0	0	16500	0	691880000	0	1	0	0	0	
1977	66	24	135	0	47	66	2	0	0	400	0	389372000	0	1	0	0	0	
1978	70	69	315	0	84	7	182	50700	32	550	0	708757000	0	0	0	0	0	
1979	78	45	196	24	84	7	440	65593	0	2107	0	906520000	3	0	0	0	0	
1980	62	28	131	30	58	7	0	284	0	12	0	1161650000	0	0	0	0	0	
1981	33	16	116	0	80	0	0	397	0	0	0	403400000	0	0	0	0	0	
1982	63	34	296	10	47	4	204	0	0	1200	0	516835000	0	1	0	0	0	
1983	55	12	135	2	105	52	500	19	0	24134	0	1954070000	3	2	1	0	0	
1984	76	570	8147	1000	797	1367	30000	501971	1000	72554	0	3498500000	1	0	0	0	0	
1985	23	9	113	3	47	0	80	12	0	60	0	153181000	0	0	0	0	0	
1986	45	50	266	3	131	41	0	205	0	350	506300000	1624000000	1	0	0	0	0	
1987	24	10	463	0	1	8	0	0	0	23	0	3479000000	0	0	0	0	0	
1988	33	35	156	0	5	30	0	50	0	100500	0	8680000000	1	0	0	0	0	
1989	37	17	46	1	38	12	0	9	0	0	0	500000000	1	0	0	0	0	
1990	34	16	88	0	667	34	445	2	0	0	0	380000000	0	1	0	0	0	
1991	27	47	774	36	564	314	256	67	0	1504	0	17785000	0	0	0	0	500	
1992	38	8	98	0	206	56	860	1244	0	500	0	37	0	0	500	0	50	
1993	27	5	154	0	398	300	2524	2708	0	0	0	174650000	0	0	0	0	0	
1994	24	19	150	1	263	2	1665	3230	0	8810	0	39473041	0	0	0	0	0	
1995	11	6	20	0	2	2	0	0	0	700	0	0	0	0	0	0	0	
1996	15	20	59	3	371	0	1600	0	0	369	0	0	2	0	0	0	0	
1997	8	4	11	0	5	0	0	14	0	300	6000000	2000000	0	0	0	0	0	
1998	9	1	36	11	116	0	900	0	0	6500	0	0	0	0	401	0	0	
1999	30	16	178	2	1571	230	5334	1952	0	9680	0	1100000	1	0	0	0	0	
2000	54	42	261	0	94	13	30	0	0	1891	0	515600000	0	1	0	0	0	
2001	44	12	77	0	248	44	4	1053	0	5655	0	23030000	2	0	0	0	0	
2002	32	18	101	0	414	7	340	400	0	17550	0	300000	0	0	0	15	0	
2003	12	15	28	0	298	52	946	90	0	23220	0	0	0	0	0	0	0	
2004	28	8	70	1	14	52	0	113	0	20658	0	2000000	0	0	0	0	0	
2005	56	35	97	10	380	179	0	305690	0	12503	3000000	30000000	1	1	9	22	0	
2006	65	75	97	1	20	213	847	0	0	4285	0	1150000	0	0	0	0	0	
2007	62	76	79	2	123	21	300	467	0	8590	0	0	0	0	0	0	0	
2008	41	48	84	2	26	8	0	26340	0	5370	0	104000000	0	1	0	0	0	
2009	28	80	191	0	136	5	400	25500	0	3845	0	0	0	0	0	0	0	
2010	38	66	93	2	40	125	0	4500	0	2056	0	11050000	2	0	5000	0	0	
2011	64	110	182	3	89	25	0	370	0	6880	0	50000	3	0	17867	0	0	
2012	84	74	211	7	119	11	150	652	0	8038	0	3000000	1	3	0	0	0	
2013	56	28	58	0	23	27	0	0	0	2620	0	0	0	0	1.5	0	0	
TOTAL	1948	1982	14840	1157	9718	3541	54421	994422	1032	376114	515330000	28863171078	26	14	23779.5	73	550	

