
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	33	0	0	0	0	0	0	0	0	0	0	6250000	0	0	0	0	0	
1971	10	0	0	0	0	0	0	6000	0	0	0	25000000	0	0	3900	0	0	
1973	7	2	0	0	0	0	0	1500	0	0	0	304000000	0	0	19400	0	0	
1974	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	29	7	100	0	0	0	0	70039	0	0	0	1630000000	0	0	16340	0	0	
1976	62	2	0	0	0	0	0	0	0	0	0	0	0	0	289125	0	0	
1977	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	
1978	14	5	6012	0	0	0	0	0	0	0	0	360000	0	0	0	0	0	
1979	46	4	353	0	0	0	0	48330	0	0	0	1562800000	0	0	230863	0	0	
1980	14	13	0	0	0	0	0	38400	0	0	0	3000000	0	0	11469	0	0	
1981	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	10	10	1000	0	0	0	0	21500	0	0	0	400000	0	0	239300	0	0	
1983	8	11	0	0	0	0	0	0	0	0	0	450000000	0	0	0	0	0	
1984	5	7	0	0	0	0	0	0	22	0	0	9600000	0	0	35000	0	0	
1985	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	10	16	36	0	0	0	0	0	55	0	0	2956000000	0	0	7050	0	0	
1987	37	22	22	0	0	0	0	4000	0	0	0	230250000000	0	0	215200	900	0	
1988	16	71	0	0	0	0	0	0	0	0	0	0	0	0	2700	0	0	
1989	26	44	500	0	0	0	0	0	0	0	0	82617000000	0	0	44450	2000	0	
1990	3	9	374	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	
1991	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	19	124	4	0	0	0	0	230	0	0	0	0	0	0	35000	2254	0	
1993	33	56	310	0	0	0	0	500	0	0	0	0	0	0	16101	0	0	
1994	17	170	20010	0	0	0	72	3000	0	0	0	0	0	0	40000	0	0	
1995	8	18	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	32	53	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	
1997	73	119	1706	0	0	0	200	0	0	0	0	40026000	0	0	26000	0	0	
1998	22	241	200000	0	0	0	0	22800	0	0	0	0	0	0	64732	0	0	
1999	121	437	48783	0	0	0	145	27000	0	0	0	3000000	429	0	388934	0	0	
2000	41	226	252557	0	0	0	0	13006	0	0	0	0	0	0	27403	0	0	
2001	26	47	0	0	0	0	0	0	100	0	0	0	0	0	3500	0	0	
2002	108	125	311	0	0	0	0	2400	0	277	0	0	0	0	2000	0	0	
2003	31	65	18	0	0	0	0	0	0	0	0	1600800000	0	0	203030	0	0	
2004	90	217	1055852	0	0	0	200	1362600	0	0	0	745500000	0	0	224915	5000	0	
2005	83	142	21	0	0	0	0	350000	0	0	0	0	0	0	200	0	0	
2006	285	228	18	0	0	0	0	2825100	0	0	0	0	0	0	270000	9000	0	
2007	118	42	0	0	0	0	0	3725	0	80	0	0	0	0	173024	0	0	
2008	62	12	500000	0	0	0	0	3000000	0	170	0	0	0	0	30200	0	0	
2009	33	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	
2010	263	11	3	0	0	0	0	185371	0	0	0	0	0	0	95239	0	0	
2011	384	18	44	0	0	0	1600	11350	0	0	0	1200000000	0	0	1705878.789	186000	0	
2012	40	0	3	0	0	0	0	0	0	0	0	0	0	0	50012	0	0	
2013	154	4	6	0	0	0	0	2000	0	0	0	0	0	0	205869	0	0	
TOTAL	2415	2610	2088203				2367	7998851	177	527		323403736000	429		4686924.79	206154		

