
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	25	0	0	0	0	0	0	50000	0	600	0	0	0	0	200	0	0	
1971	3	0	0	0	0	1500	5000	0	0	0	0	50000000	0	0	0	0	0	
1973	35	0	0	0	0	0	0	0	0	0	0	100000000	0	0	0	0	0	
1974	65	15	5	10	30	10000	50120	68000	0	10000	0	152000000	0	0	10000	0	0	
1975	7	26	0	0	3000	7000	50000	200000	0	0	0	100000000	0	0	80000	0	0	
1976	4	400	0	0	0	4000	15000	0	0	0	0	0	0	0	0	0	0	
1977	49	5	3	0	0	0	1000	0	0	31500	0	0	0	0	10000	0	560000	
1978	9	1	50	5	0	400	1000	0	0	0	0	0	0	0	0	0	0	
1979	7	12	55	3	18	15	0	1001	0	0	0	0	0	0	0	0	0	
1980	6	26	7	0	0	0	100000	0	0	0	0	500000	0	0	0	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	4	2	6	0	1	0	0	0	0	0	0	0	0	0	14000	0	0	
1983	22	10	42	105	1107	210	25000	1840000	0	0	0	1472015000	0	0	56000	0	0	
1984	23	8	8	0	4	0	12	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	6	9	3	15	72	0	0	4000	0	0	0	7500000000	0	0	128000	0	0	
1987	6	0	4	0	1	201	0	8004	0	0	0	0	0	0	0	0	0	
1988	94	214	36	562	56700	55100	165500	803000	30000	108864	0	474145000000	0	0	700000	0	0	
1989	6	1	0	18	56	100	7600	200	0	6000	0	0	0	0	111160	0	0	
1990	11	357	101	40	75	150	85000	75000	0	0	0	0	0	0	200000	0	0	
1991	17	18	2	2	3	17467	81400	15800	0	200	0	560000000	0	0	249200	0	0	
1992	23	8	8	0	1	4915	6425	15950	0	604	0	0	0	0	76721	0	0	
1993	61	18	7	10	6175	11797	71896	260000	18000	163400	0	23550000	0	0	157000	0	0	
1994	17	15	18	16	24	1	71000	100000	0	0	0	3000	0	0	213510	0	0	
1995	16	215	1	255	3152	2817	96798	150000	0	20000	0	26000000	0	0	35500	0	0	
1996	12	11	70	0	70	1950	10500	1200	0	10000	0	0	0	0	700	0	0	
1997	20	192	254	150	5208	230	301990	94800	0	6000	0	0	0	0	20000	0	11000	
1998	84	356	1	157	220	31712	357080	887350	0	43790	0	1565000000	0	20	205952	0	200000	
1999	64	148	8	5	32	6278	20725	20650	0	11173	0	81500000	64	0	635276	500	43500	
2000	20	0	1	1	3	3	250	26400	0	1200	0	10000000	0	0	0	0	30	
2001	22	9	3	0	1	375	1250	800	30	4915	0	1200000000	0	0	12100	0	0	
2002	68	57	22	55	0	12689	511800	1718087	0	133624	1000000000	10000000000	1	2	204512	0	80	
2003	33	15	0	9	355	5982	113584	214052	6830	4515	0	900000000	0	0	0	0	0	
2004	32	6	12	0	6	318	3752	210	0	9374	0	0	0	0	0	0	0	
2005	150	39	12	4	17901	733170	1089200	157400	0	1604100	0	2227400000	4	2	280200	0	120000	
2006	61	15	9	3	0	4228	119100	608585	2400	10702	0	218500000	0	0	70500	0	0	
2007	191	37	11	4	26552	36245	127100	625200	0	1192037	0	1064000000	277	1	585570	0	3339000	
2008	141	6	0	1	1105	16187	30750	316120	0	60228	0	122000000	1	0	18608	0	0	
2009	88	2	0	4	580	15000	4150	75100	0	12200	400000	0	0	0	5000	0	0	
2010	468	42	4	23	32	85908	524670	6499000	0	133372	0	70005000000	191	0	267198.014	600	165000	
2011	310	58	23	15	525	12595	87404	355000	0	33300	0	2000000000	31	4	521322	700	400000	
2012	558	24	45	1	13026	8957	9600	26638	6768	2582	0	0	435	10	211.56	0	0	
2013	750	168	69	9	8338	174027	271246	1464494	3000	58552	0	1858000000	1501	56	266850	0	900	
TOTAL	3590	2545	900	1482	144373	1261527	4416902	16682041	67028	3672832	1000400000	575380468000	2505	95	5135290.57	1800	4839510	

