
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	22	14	11	5	40	1800	7000	0	0	0	0	1000000	0	0	0	0	0	
1971	54	0	13	0	0	3350	9400	0	0	150	0	100000	0	0	1700	0	0	
1972	35	35	145	0	805	4715	3730	0	0	0	0	10000000	1	0	3500	0	0	
1973	33	3	16	0	12	1803	6000	0	0	950	0	36000000	0	0	40000	0	0	
1974	21	3	5	0	556	300	2850	0	0	0	0	301000000	0	0	0	0	1500	
1975	11	1	2	0	300	0	0	0	0	0	0	50000	0	0	200	0	0	
1976	28	9	11	0	503	415	3660	0	0	0	0	525000000	0	0	27000	0	0	
1977	26	2	6	0	140	100	1000	0	0	0	0	40300000	0	1	40000	0	25000	
1978	15	14	54	0	33	1120	25960	1000	100	17350	0	5000000	0	0	0	0	0	
1979	5	10	40	0	27	0	0	60000	0	500	0	0	0	0	131000	0	0	
1980	8	0	1	0	15	100	0	0	0	400	0	0	0	0	0	0	0	
1981	39	82	352	2	1409	0	56500	4000	0	0	0	35000000	0	0	85100	300	0	
1982	15	9	35	2	167	0	100800	7600	0	200	0	0	0	0	3700	0	0	
1983	24	9	63	0	97	50	2230	0	0	80	0	1490000000	0	0	6800	0	0	
1984	8	2	4	0	223	10	0	80	0	0	0	35000000	0	0	0	0	0	
1985	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	10	0	4	3	0	1180	2000	15000	0	0	0	100020000	0	0	0	0	0	
1987	12	2	7	0	503	0	4500	0	0	0	0	150000000	0	0	5000	0	0	
1988	9	3	3	0	0	6	10000	0	0	1550	0	2300000	0	0	0	0	0	
1989	9	24	10	0	2102	0	11300	0	0	96	0	200000000	0	0	60	0	0	
1990	40	75	127	1	479	266	1630	105300	0	1900	0	200000000	0	0	7000	0	0	
1991	15	6	0	0	227	270	2500	75	0	76	0	240240000	0	0	2000	0	900	
1992	93	20	55	35	943	4670	17804	8546	0	13133	0	2	0	0	57309	0	0	
1993	74	19	40	10	621	6780	17700	238080	0	4842	0	5037000000	2	24	153953	0	35000	
1994	29	5	30	4	253	902	4822	300270	0	557	0	3100000	0	0	4070	100	4000	
1995	20	12	3	2	21	304	650	0	0	732	0	0	1	0	550	0	0	
1996	14	24	0	0	94	7964	8000	31060	0	3500	0	4000000	0	0	3850	0	0	
1997	38	11	19	8	371	789	3050	61380	0	3440	0	200000	0	0	1000	0	0	
1998	48	15	29	8	581	247	2830	120260	0	50	0	0	0	0	0	200	0	
1999	74	80	10	39	1208	5169	12042	46600	489	12856	0	3025000000	0	1	2350	600	2000	
2000	34	25	20	12	840	3481	5935	54520	0	550	0	180000000	0	0	45802	0	0	
2001	28	13	13	2	9	720	796	15500	0	340	0	0	1	0	4090	1	0	
2002	51	15	77	2	5628	32101	32072	151100	0	19230	25000000	793000000	2	1	122300	0	0	
2003	18	29	28	8	18	1025	3008	1650	18	1000	0	0	0	0	0	0	0	
2004	27	5	8	0	23	702	876	310918	0	0	0	0	1	0	5580	0	0	
2005	17	13	4	1	208	10	240	2500	0	1200	0	0	0	0	10000	0	0	
2006	30	4	1	1	1	369	0	0	0	10000	0	600000	0	0	1000	0	0	
2007	89	11	16	2	21	5395	2462	204100	0	500	0	0	47	0	8975	0	0	
2008	87	15	58	6	4	8787	291	304900	0	2618	0	0	1	1	4500	0	0	
2009	98	4	13	0	143	1336	3100	100000	0	1700	0	0	1	0	35000	0	0	
2010	312	13	17	24	1167	50008	15350	108600	0	12381	0	0	69	2	8250	0	0	
2011	113	17	5	5	3	1304	292	46000	0	240	0	3000000	5	0	0	0	0	
2012	124	10	46	1	112	6130	6900	17200	0	50	0	0	2	0	3820	0	0	
2013	68	7	18	10	2	1606	800	1600	0	500	0	1000000000	23	1	400	0	0	
TOTAL	1928	670	1419	193	19909	155284	390080	2317839	607	112671	25000000	13416910002	156	31	825859	1201	68400	

