
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2005	3	0	0	0	0	658	0	0	0	0	2233742.87	1965914.5	3	0	0	0	0	
2010	1	0	0	0	0	22	0	0	0	0	157932.61	138569	0	0	0	0	0	
2012	10	0	0	0	41	3136	0	0	0	0	12572616.21	11082448.47	8	2	0.7	114	0	
2015	1	0	0	0	0	6	0	0	0	0	24053.4	21508	0	0	0	0	0	
2016	1	0	0	0	0	1	0	0	0	0	25502.6	22508.9	0	0	0	0	0	
2017	3	0	0	0	0	8	0	0	0	0	315318.76	277151.45	0	0	0	0	0	
2018	1	0	0	0	0	0	0	0	0	0	9885.76	9000	0	0	0	0	0	
2019	1	0	0	0	0	0	0	0	0	0	4994.91	4607	0	0	0	0	0	
2020	3	0	0	0	0	0	0	0	0	0	219480.21	202768	0	0	0	0	0	
2021	8	0	0	0	0	0	0	0	0	0	37890.48	34662.2	0	0	3	0	0	
TOTAL	32				41	3831					15601417.81	13759137.52	11	2	3.7	114		

