
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2008	1	0	0	0	0	0	0	0	0	0	1262.88	1200	0	0	0	1	0	
2013	1	0	0	0	0	0	0	0	0	0	1931.05	1750	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	1655.19	1500	0	0	0	0	0	
2015	2	0	0	0	0	0	0	0	0	0	7680.08	6960	0	0	0	39	0	
2016	1	0	0	0	0	0	0	0	0	0	5870.41	5320	0	0	0	0	0	
2017	2	0	0	0	0	0	0	0	0	0	16163.55	14669	0	0	0	0	0	
2018	14	0	0	0	0	0	0	0	0	0	75381.13	68391.8	0	0	0	8	0	
2019	11	0	0	0	0	0	0	0	0	0	25832.23	23570	0	0	0	7	0	
2020	6	0	0	0	0	0	0	0	0	0	11365.53	10430	0	0	0	19	0	
2021	2	0	0	0	0	0	0	0	0	0	18731.28	16957	0	0	0	1	0	
TOTAL	41										165873.33	150747.8				75		

