
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2007	1	0	0	0	0	0	0	0	0	0	45416.12	41100	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	2841.41	2575	0	0	0	0	0	
2012	4	0	0	0	0	0	0	0	0	0	102606.45	92878.5	0	0	0	0	0	
2013	12	0	0	0	0	0	0	0	0	0	111918.1	101351.14	0	0	0	0	0	
2014	8	0	0	0	0	0	0	0	0	0	238809.62	216271.8	0	0	0	0	0	
2015	8	0	0	0	0	0	0	0	0	0	127167.61	115191.5	0	0	0	0	0	
2016	5	0	0	0	0	0	0	0	0	0	153102.86	138748	0	0	0	0	0	
2017	8	0	0	0	0	5	0	0	0	15	78912.54	71020	0	0	0	0	0	
2018	23	0	0	0	0	2	0	0	0	0	201782.95	181928.64	0	0	0	0	0	
2019	37	0	0	0	0	0	0	0	0	0	421020.46	382668.15	0	0	0	0	0	
2020	47	0	0	0	0	0	0	0	0	0	720476.2	657352.5	0	0	0	0	0	
2021	34	0	0	0	0	0	0	0	0	0	461700.31	421871.42	0	0	0	0	0	
2022	1	0	0	0	0	0	0	0	0	0	8008.76	7400	0	0	0	0	0	
TOTAL	189					7				15	2673763.39	2430356.65						

