
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1991	1	11	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	
1992	6	104	0	0	0	0	1799	0	0	0	0	0	0	0	0	0	0	
1995	2	4	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	
1996	3	337	0	0	0	0	4274	4128	0	0	0	0	0	0	0	0	0	
1997	4	84	0	0	0	0	1136	0	0	0	0	0	0	0	0	0	0	
1998	9	500	0	0	0	0	62	21041	0	0	0	0	0	0	0	0	0	
1999	16	101	0	0	0	0	0	29851	0	0	0	0	0	0	0	0	0	
2000	22	261	0	0	0	0	0	121475	0	0	0	0	0	0	0	0	0	
2001	33	335	0	0	0	0	34353	208004	0	0	0	0	0	0	0	0	0	
2002	36	1139	0	0	0	0	45467	181624	0	0	0	0	0	0	0	0	0	
2003	55	422	0	0	0	0	6845	320026	0	0	0	0	0	0	0	0	0	
2004	61	557	0	0	0	0	10417	523652	0	0	0	0	0	0	0	0	0	
2005	54	1041	0	0	0	0	6479	1043064	0	0	0	0	0	0	0	0	0	
2006	71	712	0	0	0	0	11704	1029606	0	0	0	0	0	0	0	0	0	
2007	109	734	0	0	0	0	16576	919248	0	0	0	0	0	0	0	0	0	
2008	117	885	0	0	0	0	19714	643145	0	0	0	0	0	0	0	0	0	
2009	64	468	13	0	0	0	1973	106592	0	0	0	0	0	0	0	0	0	
2010	2	5	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	
2011	2	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	
TOTAL	668	7701	13				160969	5152312										

