
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	2	0	0	0	2952	0	12813	0	0	0	0	127000000	0	0	0	0	0	
1981	2	0	0	0	11448	0	32146	0	0	0	0	230000000	0	0	0	0	0	
1982	2	0	0	0	1946	0	13388	0	0	0	0	35200000	0	0	0	0	0	
1983	1	0	0	0	435	0	2667	0	0	0	0	10880000	0	0	0	0	0	
1984	3	0	0	0	3805	0	26413	0	0	0	0	309140000	0	0	0	0	0	
1985	3	0	0	0	925	0	8561	0	0	0	0	52980000	0	0	0	0	0	
1986	3	0	0	0	3528	0	19876	0	0	0	0	301050000	0	0	0	0	0	
1987	1	0	0	0	178	0	270	0	0	0	0	35040000	0	0	0	0	0	
1988	8	136	65	0	6339	0	47988	0	0	0	0	311450000	0	0	0	0	0	
1989	15	7	5	0	5154	0	38505	0	0	0	0	957810000	0	0	0	0	0	
1990	13	1	0	0	2407	0	12912	0	0	0	0	176710000	0	0	0	0	0	
1991	21	31	0	0	7197	0	47084	0	0	0	0	1019320000	0	0	0	0	0	
1992	12	0	0	0	4850	0	16774	0	0	0	0	186050000	0	0	0	0	0	
1993	12	2	0	0	4215	0	21798	0	0	0	0	327660000	0	0	0	0	0	
1994	21	0	0	0	2028	0	9842	0	0	0	0	144660000	0	0	0	0	0	
1995	19	4	37	0	3107	0	18128	0	0	0	0	271300000	0	0	0	0	0	
1996	9	0	0	0	1257	0	2000	0	0	0	0	88820000	0	0	0	0	0	
1997	18	0	0	0	1541	0	0	0	0	0	0	250100000	0	0	0	0	0	
1998	22	0	0	0	1777	3	7873	0	0	0	0	139223000	0	0	0	0	0	
1999	11	1	0	0	2548	8	11361	0	0	0	0	753350000	0	0	0	0	0	
2000	13	0	0	0	843	5	1410	0	0	0	0	166471000	0	0	0	0	0	
2001	26	3	2	0	2361	538	22171	0	0	0	0	4969979000	0	0	0	0	0	
2002	38	0	0	0	2213	187	10912	0	0	0	0	360383000	0	0	0	0	0	
2003	15	11	0	0	362	469	3017	0	0	0	0	500290000	0	0	0	0	0	
2004	61	22	33	0	1272	457	7437	0	0	0	0	973309337	0	0	0	0	0	
2005	690	23	180	0	7434	988	32561	0	0	0	0	4451507343	2	0	0	8	0	
2006	504	0	13	1	3632	505	12829	0	0	0	0	3594151730	0	0	0	0	0	
2007	701	3	19	15	5398	128	31958	0	0	0	0	1556055040	0	0	0	56	0	
2008	798	25	53	0	1128	2462	20608	0	0	0	1000000	4130092522	1	0	0	0	0	
2009	895	44	111	4	709	2579	14812	0	0	0	0	9512849040	0	0	0	0	0	
2010	1520	169	126	0	6852	421	22770	0	0	0	0	5986658767	0	0	0	0	0	
2011	1223	52	134	46	4225	245	19798	60	0	0	220000	2877889192.48	1	0	0	0	0	
2012	415	17	1	0	1583	385	9603	0	0	0	206000	2586316363	0	0	0	0	0	
2013	3615	172	286	0	3029	7655	46304	313	0	3	88000	9101642045	850000	0	0	0	0	
2014	1901	70	145	0	4731	74147	19683	1102	0	0	250000	6739749355	0	0	0	0	0	
2015	3221	90	221	0	6082	228	25751	744	0	0	0	4805984700	1	0	0	0	0	
2016	762	56	30	0	5404	702	22847	6232	0	138	600000	44216401900	2	0	0	0	0	
2017	1042	133	34	0	2164	699	21472	587	1848	6	1650000	1903217083	3	0	0	0	0	
2018	829	73	80	0	2460	100	10358	2297	47	3	0	1216299325	0	0	0	0	0	
2019	763	74	99	0	2220	167	7	11675	0	12	0	1431052742.4	0	0	0	0	0	
2020	88	12	8	0	148	9	0	761	0	0	0	81097475.35	0	0	0	0	0	
TOTAL	19318	1231	1682	66	131887	93087	706707	23771	1895	162	4014000	116889139960.23	850010			64		

