
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2004	21	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	9	9	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
2006	26	33	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	41	46	60	2	0	0	0	0	0	0	0	1500000	0	0	0	0	0	
2008	208	217	43	23	1	61	0	321	0	0	0	0	1	0	0	0	0	
2009	300	278	120	35	2	0	0	15	5	0	0	0	0	0	0	0	0	
2010	379	346	109	78	1	354	0	1796	5	1	0	75700000	0	0	0	7	0	
2011	331	328	139	63	1	58	0	372	21	6	0	12400000	0	0	0	1	0	
2012	285	281	106	52	1	41	0	10285	21	3	0	1500000	0	0	0	14	0	
2013	108	113	49	32	1	2	0	32	32	2	0	2639000	0	0	0	5	0	
TOTAL	1708	1675	646	286	7	516		12826	84	12		93739000	1			27		

