
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	
1998	6	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	
1999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	2	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	
2005	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	4	1	8	0	0	0	0	24	0	0	0	0	0	0	0	0	0	
2007	6	2	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	
2009	7	9	0	0	0	0	0	100	0	0	0	0	0	0	0	250	0	
2010	7	7	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	
2011	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	49	45	20				210	381								250		

