
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1978	1	0	0	0	27	0	245	39	0	0	0	0	0	0	0	0	0	
1981	7	0	0	0	15	0	1750	290	0	0	0	0	0	0	0	519	0	
1982	1	0	0	0	0	0	350	50	0	0	0	0	0	0	0	230	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	3	0	0	0	0	0	5	1	0	0	0	0	0	0	0	2	0	
1987	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	0	0	0	50	0	3250	50	0	0	0	13000000	0	0	0	0	0	
1989	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1670	0	0	
1990	7	0	1	0	107	0	225	395	0	0	0	783767530	0	0	19595	0	0	
1991	3	0	0	0	45	0	350	45	0	0	0	0	0	0	5	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	2	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	
1994	4	3	0	0	170	0	4297	276	0	0	0	0	0	0	3725	292	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	2	3	0	0	670	0	2000	500	0	0	0	0	0	0	0	0	0	
1998	7	0	0	0	13	0	3125	179	36	0	0	0	0	0	3405	122	0	
1999	6	8	1	0	199	0	1793	279	0	0	0	0	0	0	1025	108	0	
2000	4	1	6	0	700	10	9478	549	0	0	0	0	0	0	0	0	0	
2001	8	0	0	0	70	0	6810	0	0	0	0	0	0	0	5	666	0	
2002	5	0	0	0	0	0	0	4	0	0	0	0	0	0	1850	4	0	
2003	4	0	0	0	68	0	1435	0	0	0	0	0	0	0	7653	0	0	
2004	3	0	2	0	53	0	2487	114	0	0	0	421350	0	0	103	19	0	
2005	3	0	0	0	3	0	98	14	0	0	0	0	0	0	150	0	0	
2006	23	2	8	0	3498	142	37770	6051	4236	0	0	43500	0	0	3685.5	975	0	
2007	10	0	0	0	173	0	6055	599	0	0	0	0	0	0	2700	311	0	
2008	26	1	0	0	314	0	3496	16	0	0	59000	0	0	0	695	63	0	
2009	13	0	0	0	317	0	157820	14666	0	0	0	0	0	0	3730	20	0	
2010	112	2	14	0	12834	25	336194	30045	2570	0	0	301500	1	1	14240.04	89195	0	
2011	65	16	19	0	7170	0	97574	468	0	0	0	0	0	0	22834.91	70	0	
2012	220	56	110	0	23596	736	436824	16077	0	0	0	1500000	4	0	58797.49	9200	0	
2013	199	20	32	0	21608	463	247331	6208	0	0	0	25000000	5	0	19255.17	5033	0	
2014	232	22	1	0	43	508	562	2199	0	0	0	0	107	2	3945.873	157	3	
2015	203	12	9	0	2199	3654	1668	583	4936	0	218380000	600000	107	0	5664.364	4799	0	
2016	323	49	52	2	1048	8516	722	0	731	0	0	0	48	39	2139.846	26367	1748300	
2017	499	55	41	4	254	12161	40	0	40	0	0	0	15	9	6335.08	0	0	
2018	334	9	38	0	0	13903	0	0	0	0	0	0	5	0	6987.85	6	0	
2019	536	29	56	0	16960	979	280	161	0	0	0	0	19	4	4861	0	0	
2021	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	2885	288	390	6	92207	41097	1364034	79910	12549		218439000	824633880	311	55	195058.12	138158	1748303	

