
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1840	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1850	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1853	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1857	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1864	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1865	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1868	1	2	0	0	101	101	0	0	0	0	5000000	0	0	0	0	0	0	
1869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1873	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1875	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1878	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1881	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1894	1	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1895	1	27	1	0	51	0	0	0	0	0	0	0	0	0	0	0	0	
1899	5	152	0	0	101	101	0	0	0	0	4000000	0	0	0	0	0	0	
1900	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1901	2	1	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1902	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1906	2	101	0	0	101	0	0	0	0	0	5000000	0	0	0	0	0	0	
1907	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1909	2	0	0	0	101	0	0	0	0	0	2000000	0	0	0	0	0	0	
1910	1	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1916	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1917	1	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1919	3	0	0	0	1	0	0	0	0	0	1000000	0	0	0	0	0	0	
1920	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1922	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1926	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	2	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1931	2	50	0	0	101	101	0	0	0	0	5000000	0	0	0	0	0	0	
1932	1	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1938	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1939	2	17	101	0	152	0	0	0	0	0	2000000	0	0	0	0	0	0	
1941	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1953	3	7	12	0	51	0	400	400	0	0	500000	0	0	0	0	0	0	
1954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1956	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1959	3	0	18	0	0	0	0	0	0	0	5000000	0	0	0	0	0	0	
1961	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1965	2	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1966	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	0	0	0	0	0	0	5000000	0	0	0	0	0	0	
1968	2	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1969	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	2	30	20	0	800	800	0	0	0	0	3500000	0	0	0	0	0	0	
1971	5	4	56	0	0	0	0	0	0	0	6000000	0	0	0	0	0	0	
1972	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	2	0	0	0	0	0	0	0	0	0	2000000	0	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1975	2	200	0	0	51	0	0	0	0	0	5000000	0	0	0	0	0	0	
1977	8	97	4	0	0	0	7505	16010	0	0	6201200	1	0	0	0	0	0	
1979	4	0	0	0	0	2	0	0	0	0	2000000	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	4	0	0	0	1	0	0	0	0	0	150000	0	0	0	0	0	0	
1983	5	30	0	0	0	0	0	0	0	0	26050000	0	0	0	0	0	0	
1984	2	0	11	0	30	0	0	0	0	0	2000000	0	0	0	0	0	0	
1985	6	1	0	0	101	10	0	0	0	0	4010000	0	0	0	0	0	0	
1986	1	0	0	0	0	0	1000	1000	0	0	500000	0	0	0	0	0	0	
1987	3	1	0	0	101	0	4000	4000	3000	0	1500000	0	0	0	0	0	0	
1988	5	76	0	0	100	88	1500	6000	5000	0	2100000	0	0	0	0	0	0	
1989	3	1	7	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
1990	3	0	2	0	0	0	4	4	0	0	1100000	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	1010000	0	0	0	0	0	0	
1993	7	103	205	0	0	0	20200	30291	10000	0	7120000	0	0	0	0	0	0	
1994	2	0	0	0	0	0	0	0	0	0	110000	0	0	0	0	0	0	
1995	3	11	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	
1996	4	2	0	0	48	0	0	0	0	0	20000	0	0	0	0	0	0	
1997	3	100	0	0	0	7	0	0	0	0	100000	0	0	0	0	0	0	
1998	4	2182	1000	0	101	0	9867	30000	9500	0	5100000	0	0	0	0	0	0	
1999	5	22	40	0	193	101	14365	28465	2000	0	5000000	0	0	0	0	0	0	
2000	3	2	0	0	70	0	105000	205000	10000	0	1000000	14000000	0	0	0	0	0	
2001	2	0	1	0	45	40	201	201	200	0	10000	0	0	0	0	0	0	
2002	9	50	175	0	1250	530	6577	17720	3160	0	10050000	0	1	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	1	2	0	0	0	200	200	200	0	50000	0	0	0	0	0	0	
2006	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
2007	4	52	0	0	918	500	2384	7000	7000	0	5500000	0	0	0	0	0	0	
2009	4	155	328	0	532	268	10507	33000	4300	0	82300000	0	0	0	0	0	0	
2010	3	0	2	0	61	135	10	8067	0	10	0	0	0	1	0	0	0	
2011	2	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	10	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	204	6609	1988		5170	3386	183720	387359	54360	10	223091200	14000001	1	1				

