
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	14	209	243	0	0	0	6955	796	0	0	0	0	0	0	0	58	0	
2004	11	223	112	0	0	0	742	3874	0	0	0	0	0	0	0	96	0	
2005	13	180	36	0	0	0	658	16	0	0	0	0	0	0	0	6	0	
2006	9	47	36	0	0	0	968	3492	0	0	0	0	0	0	0	25	0	
2007	7	122	128	0	0	0	4600	64	0	0	0	0	0	0	0	200	0	
2008	6	592	12	0	0	0	4716	81	0	0	0	0	0	0	0	29	0	
2009	2	53	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	66	1454	573				18639	8323								414		

