
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	1	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	
1996	8	1	0	0	150	547	3145	70	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	35	0	175	0	0	0	0	0	0	0	0	0	
2007	5	0	0	0	0	44	0	170	0	0	0	0	0	0	0	0	0	
2008	6	1	0	0	5	22	38	63	0	0	0	0	0	0	0	0	0	
2009	4	0	0	0	1	86	5	426	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	7	0	26	0	0	0	0	0	0	0	0	0	
2011	1	0	0	0	0	5	0	25	0	0	0	0	0	0	0	0	0	
2014	6	0	0	0	0	294	0	1495	0	0	0	0	0	0	0	0	0	
2016	11	0	0	0	4	5	0	29	3	0	0	0	0	0	0	0	0	
2017	2	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	
2018	1	2	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	
2019	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	50	4			160	1048	3188	2494	3	200								

