
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	13	0	0	40	0	200	0	0	0	0	0	0	0	0	0	
1990	9	1	16	0	30	0	138	4	0	0	0	0	0	0	0	0	0	
1991	5	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	4	0	2	0	72	16	360	217	0	0	0	0	0	0	0	0	0	
1993	10	0	32	0	36	19	198	115	90	390	0	0	0	0	0	0	0	
1994	13	0	12	0	35	1	263	0	0	0	0	0	0	0	0	0	0	
1995	11	5	10	0	2	3	0	5	0	110	0	0	0	0	0	0	0	
1996	19	1	26	0	53	55	274	336	0	0	0	132000	1	0	0	0	0	
1997	39	2	8	0	20	36	80	120	0	0	0	155500	1	0	0	0	0	
1998	44	13	13	0	5	116	21	452	0	0	190000	38000	0	0	0	0	0	
1999	25	0	12	0	3	19	13	188	0	0	0	0	0	0	0	0	0	
2000	13	1	16	0	1	11	7	45	0	0	0	0	0	0	0	0	0	
2001	12	0	2	0	0	34	0	85	0	10	0	0	0	0	0	0	4	
2002	6	0	1	0	2	6	29	23	0	10	0	0	0	0	0	0	0	
2003	1	0	0	0	0	1	0	80	0	0	0	0	0	0	0	0	0	
2004	14	0	1	0	26	22	89	266	0	0	0	0	0	0	0	0	0	
2005	15	0	32	0	1	127	8	414	0	0	0	0	0	0	0	0	0	
2006	6	0	2	0	6	5	15	15	0	0	0	0	0	0	0	0	0	
2007	12	3	7	0	0	30	0	167	0	0	0	0	0	0	0	0	0	
2008	22	1	12	0	34	67	154	229	0	0	0	0	1	0	0	0	0	
2009	2	0	1	0	2	0	13	0	0	0	0	0	0	0	0	0	0	
2011	3	0	0	0	0	28	24	2140	0	0	0	0	0	0	0	0	0	
2013	9	1	2	0	1	4	3	21	0	0	0	0	0	0	0	0	0	
2014	38	3	15	0	1	68	5	163	0	0	0	0	0	0	0	0	0	
2015	75	0	1	0	1	114	5	428	0	0	0	0	0	0	0	0	0	
2016	37	0	1	0	0	74	0	320	0	0	0	0	0	0	0	0	0	
2017	5	0	5	0	1	1	0	13	0	0	0	0	0	0	0	0	0	
2018	44	0	0	0	0	59	0	220	0	0	0	8000	0	0	0	0	0	
2019	14	0	1	0	0	17	0	37	0	0	0	0	1	0	0	0	1	
2020	3	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	
TOTAL	515	39	260		332	974	1699	6307	90	520	190000	333500	4				5	

