
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	4	1	0	0	0	0	0	0	0	0	0	5000000	0	0	0	0	0	
1973	12	1	0	0	0	0	0	0	0	0	51679.59	2000000	0	0	0	1023	0	
1974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
1984	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	
1995	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	
2000	18	0	0	0	0	0	0	0	0	0	0	7000000	0	0	0	54390	0	
2001	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	89	0	
2002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
2003	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
2004	2	0	0	0	0	150	0	0	0	0	0	0	0	0	0	100	0	
2012	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	97	2				150		8			51679.59	14000000				59827		

