
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	21	0	0	0	1	0	0	0	0	0	1500	0	0	0	0	0	0	
1971	32	5	0	0	1	1	0	0	0	0	3500	0	0	0	0	0	22000	
1972	73	8	0	0	4	7	20	40000	0	0	49259.69	1500000	1	0	300	0	0	
1973	85	8	0	0	1	4	0	375	0	0	3571060.06	138200000	2	0	0	0	100	
1974	75	27	0	0	9	1	320	0	0	0	0	0	0	0	800	0	114	
1975	7	3	0	0	0	0	0	0	0	0	6459.9	250000	0	0	0	0	0	
1976	7	2	0	0	1	0	4	0	0	0	1500	0	0	0	0	0	0	
1977	6	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1978	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	8	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1980	26	3	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	0	
1981	52	8	0	0	17	20	10	0	0	0	3000	0	0	0	0	0	0	
1982	47	16	0	0	2	0	10	110000	0	0	49181	30000000	0	0	374	0	150	
1983	9	4	0	0	0	2	0	0	0	0	65359	100000000	0	0	0	0	0	
1984	13	2	0	0	10	50	45	0	0	0	6000	0	0	1	0	0	0	
1985	32	5	0	0	0	11	97	225	0	0	0	0	1	0	0	0	0	
1986	35	5	0	1	2	2	75	1000	0	0	0	0	0	0	0	0	0	
1987	20	3	1	0	1	50	291	100105	0	0	0	0	0	0	0	0	0	
1988	22	18	0	0	1	0	5	105200	0	0	4500	0	0	0	0	0	0	
1989	16	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1990	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	15	130	0	0	1	14	0	0	0	0	0	0	0	0	0	0	
1994	17	17	0	0	23	0	145	0	0	0	118950	0	0	0	550	0	0	
1995	68	8	4	0	65	116	688	0	0	0	710000	0	1	0	0	7	0	
1996	42	14	0	0	53	134	1151	0	2448	0	189000	0	0	0	2	0	0	
1997	5	0	0	0	0	0	0	7000	0	0	0	0	0	0	0	0	0	
1998	22	6	1	1	41	0	277	0	0	0	434500	0	0	0	0	0	60	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	
2000	8	2	0	0	0	50	0	0	0	0	0	50000	0	0	0	0	0	
2001	8	4	0	7	1	2	12	30	0	0	0	0	1	0	0	0	0	
2002	5	15	0	0	3	3	9	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
2004	8	0	0	0	0	147	0	700	0	0	0	0	0	0	0	0	0	
2005	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2007	11	4	6	0	0	1460	0	70300	250	0	0	0	0	0	0	0	300	
2008	18	9	14	0	29	662	140	3304	0	0	0	0	0	0	0	0	0	
2009	9	5	2	0	1	1	0	5	0	0	0	0	0	0	0	0	0	
2010	24	5	1	0	24	4	0	0	0	0	0	0	0	0	0	0	0	
2011	22	0	5	0	77	50	0	0	0	0	0	0	1	0	0	0	0	
2012	12	1	0	0	15	9	89	45	0	0	0	0	1	0	2200	0	0	
2013	13	0	21	0	58	36	100	375	0	0	0	0	1	0	0	0	300	
TOTAL	895	244	200	9	441	2829	4702	438664	2698		5213769.65	270000000	10	1	4226	7	23324	

