
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	36																	

