
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2011	2	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	
2015	4	0	0	0	0	0	0	5000	0	0	0	45834	0	0	75	0	0	
2017	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	8	0	0	0	0	0	0	13001	0	0	0	0	0	0	0	0	0	
2019	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	2	0	0	0	0	0	15147	0	0	0	0	0	0	0	0	0	0	
2021	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	24		20				15147	18801				45834			75			

