
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1723	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1728	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1758	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1826	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1895	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1961	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	
1963	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	2	1	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	
1990	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	44	2				49									30			

