
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1974	15	1	0	0	100	150	0	8100	0	0	0	0	0	0	0	0	0	
1975	7	0	0	0	0	0	0	3984	0	0	0	0	0	0	0	0	0	
1976	19	1	0	0	0	6002	0	51750	0	0	0	0	0	0	0	0	0	
1977	20	0	0	0	0	14	0	6766	0	0	0	0	5	0	0	0	0	
1978	109	9	1	0	1165	8584	0	203806	28	6530	0	0	0	0	0	0	0	
1979	13	0	0	0	0	0	0	5800	0	0	0	0	0	0	0	0	0	
1980	7	0	0	0	0	4	0	2135	0	0	0	0	0	0	0	0	0	
1981	19	7	0	0	138	61	0	46900	0	0	0	0	0	0	0	0	0	
1982	27	1	0	0	0	1814	0	212897	0	0	0	0	0	0	0	0	0	
1983	20	17	33	1	887	781	0	21878	0	336	0	0	0	0	0	0	0	
1984	88	2	0	0	80	3218	0	196167	0	0	0	0	0	0	0	0	0	
1985	42	3	0	0	1	32	0	80323	0	0	0	0	0	1	0	0	0	
1986	33	23	0	0	5027	2165	0	415713	0	0	0	0	0	0	0	0	0	
1987	4	0	0	0	0	5	0	15050	0	0	0	0	0	0	0	0	0	
1988	31	2	2	0	15	19	0	225655	0	0	0	0	0	0	0	0	0	
1989	67	4	0	0	6322	712	0	332243	0	0	0	0	0	0	0	0	0	
1990	48	1	0	0	5450	2875	0	248659	0	0	0	0	0	0	0	0	0	
1991	48	11	0	0	10	94	0	193754	0	0	0	0	0	0	0	0	0	
1992	96	13	0	0	597	2020	0	319745	0	50	0	0	0	0	0	0	0	
1993	106	6	0	0	656	966	0	668429	0	65	0	0	0	0	0	0	0	
1994	86	1	0	0	251	6674	0	358569	0	0	0	0	0	0	0	0	0	
1995	87	5	0	0	157	677	0	129792	0	0	0	0	0	0	0	0	0	
1996	29	0	0	0	13	185	0	105070	0	150	0	0	0	0	0	0	0	
1997	84	1	0	5	950	669	0	150731	0	0	0	0	0	0	0	0	0	
1998	81	2	0	0	193	608	0	100513	0	898	0	0	0	0	0	0	0	
1999	147	9	2	0	119	5421	0	488711	0	0	0	0	0	0	0	0	0	
2000	77	3	0	0	731	1404	0	264521	0	452	0	0	0	0	0	0	0	
2001	36	0	0	0	1277	1212	0	85276	0	1405	0	0	0	0	0	0	0	
2002	65	1	0	0	244	1743	0	217555	0	60	0	0	0	0	0	0	0	
2003	457	151	94	3	7797	24084	0	733479	0	2465	0	0	0	0	0	0	0	
2004	137	4	0	0	1002	4795	0	340068	0	3470	0	0	1	0	0	0	0	
2005	247	17	12	0	907	9051	0	415471	0	9183	0	0	0	0	0	0	0	
2006	425	34	22	1	1334	5412	0	605903	4	13032	0	0	0	0	0	0	0	
2007	660	16	12	2	1635	9690	0	499881	0	5438	0	378500	0	0	0	0	0	
2008	1675	44	11	3	1305	6323	0	1262506	0	1016	0	0	0	0	0	0	0	
2009	405	3	2	0	140	1534	0	453429	0	1087	0	0	0	0	0	0	0	
2010	884	24	10	1	1180	7199	0	1163932	0	100	0	0	0	0	0	0	0	
2011	175	40	49	1	6390	14268	0	724349	0	0	0	0	0	0	0	0	0	
2012	131	25	13	0	942	6698	0	158411	0	214	0	0	0	0	9068.585	0	0	
2013	45	2	0	0	84	281	0	450343	0	0	0	0	0	0	0	0	0	
2014	288	35	32	3	4877	15220	0	1174073	0	0	0	0	0	0	0	0	0	
2015	264	15	18	1	419	5046	0	237331	0	0	0	0	0	0	0	0	0	
2016	209	26	20	0	379	2518	0	444505	0	0	0	0	0	0	0	0	0	
2017	128	118	115	89	1370	10379	0	666244	0	0	0	0	67	14	193.74	0	523	
2018	272	27	16	1	781	11090	0	452798	0	0	0	0	0	0	4910.7908	6710	760580	
2019	305	13	23	2	142	6841	0	579428	0	0	0	0	0	0	0	0	0	
2020	1	0	0	0	5	45	0	476	0	0	0	0	0	0	0	0	0	
TOTAL	8219	717	487	113	55072	188583		15523119	32	45951		378500	73	15	14173.12	6710	761103	

