
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1974	7	42	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	
1975	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	3	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	15	31	0	0	36	21	0	1195	0	12	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	8	39	11	4	15	5	0	175	0	0	0	0	0	0	0	0	0	
1983	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	10	17	25	0	17	0	0	85	17	0	0	0	0	0	0	0	0	
1985	9	9	0	0	2	3	0	313	0	0	0	0	0	0	0	0	0	
1986	43	54	8	0	41	77	0	4350	0	200	0	0	0	0	0	0	0	
1987	5	1	1	0	1	23	0	365	0	20	0	0	0	0	0	0	0	
1988	3	5	1	0	1	13	0	70	0	0	0	0	0	0	0	0	0	
1989	45	236	19	2	78	46	0	2593	294	116	0	0	0	0	0	0	0	
1990	4	12	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	
1991	8	2	3	0	0	8	0	115	0	0	0	0	0	0	0	0	0	
1992	9	10	1	0	5	50	0	278	0	0	0	0	0	0	0	0	0	
1993	20	23	9	0	27	141	0	3725	0	48	0	0	0	0	0	0	0	
1994	3	7	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	
1995	11	4	11	0	2	37	0	398	0	0	0	0	0	0	0	0	0	
1996	6	1	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	
1997	28	22	8	0	14	11	0	2354	0	0	0	0	0	0	0	0	0	
1998	6	0	0	0	0	3	0	13	0	0	0	0	0	0	0	0	0	
1999	12	5	0	0	0	2	0	59	0	0	0	0	0	0	0	0	0	
2000	4	0	0	0	3	1	0	23	0	0	0	0	0	0	0	0	0	
2001	2	3	0	0	1	1	0	10	0	0	0	0	0	0	0	0	0	
2002	20	12	3	0	37	39	0	2299	0	19	0	0	0	0	0	0	0	
2003	103	218	29	30	855	2858	0	22548	0	39	0	0	0	0	0	0	0	
2004	36	8	2	0	98	450	0	3872	0	163	0	0	0	0	0	0	0	
2005	60	4	3	0	24	107	0	1696	37	4	0	0	0	0	0	0	0	
2006	777	27	57	0	265	2018	0	26889	0	951	0	1038000	0	0	0	0	0	
2007	326	34	28	3	495	1822	0	27537	0	584	0	0	0	0	0	0	0	
2008	220	16	17	0	48	248	0	3273	0	69	0	0	0	0	0	0	0	
2009	136	11	12	0	26	91	0	1376	0	28	0	0	0	0	0	0	0	
2010	82	2	9	0	16	82	0	1686	0	55	0	0	0	0	0	0	0	
2011	21	10	11	0	134	124	0	2564	0	61	0	0	0	0	0	0	0	
2012	14	0	3	0	5	60	0	5154	0	0	0	0	0	0	0	0	0	
2013	28	2	3	0	12	149	0	824	0	0	0	0	0	0	0	0	0	
2014	39	30	5	31	72	147	0	13848	0	0	0	0	0	0	0	0	0	
2015	35	7	1	0	11	150	0	810	0	0	0	0	0	0	0	0	0	
2016	20	67	9	117	244	1776	0	28270	0	0	0	0	0	0	0	0	0	
2017	14	96	14	55	301	1308	0	129949	0	0	0	0	0	0	0	0	0	
2018	20	1	6	0	10	97	0	2246	0	0	0	0	0	0	0	0	0	
2019	38	4	3	1	14	130	0	2388	0	0	0	0	0	0	0	0	0	
TOTAL	2256	1081	334	243	2914	12098		293542	348	2369		1038000						

