
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1994	1	0	0	0	0	0	0	0	0	0	0	6300	0	0	0	16	0	
1995	3	0	0	0	0	0	0	0	0	0	0	162700	0	0	0	80	0	
1996	3	0	0	0	0	0	0	0	0	0	0	47800	0	0	0	161	0	
1997	1	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	15	0	
1998	3	0	0	0	0	0	0	0	0	0	0	27500	0	0	0	64	0	
1999	25	185	0	0	0	0	0	2725	0	0	0	22000	0	0	0	23	0	
2000	11	23	0	0	0	0	0	769	0	0	0	0	0	0	0	0	0	
2001	17	28	0	0	0	0	0	2035	0	0	0	0	0	0	0	1	0	
2002	13	12	0	0	0	0	0	425	0	0	0	129000	0	0	0	54	0	
2003	6	0	0	0	0	0	0	0	0	0	0	23000	0	0	0	70	0	
2004	26	10	0	0	0	0	0	373	0	0	0	88500	0	0	0	217	0	
2005	32	16	0	0	0	0	0	1152	0	0	0	50000	0	0	0	24	0	
2006	28	6	0	0	0	0	0	965	0	0	0	56700	0	0	0	109	0	
2007	1	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	
TOTAL	170	280						8689				615000				834		

