
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	4	17	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	4	1	64	0	3	0	0	0	0	0	0	1500	0	0	0	0	0	
1989	2	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	3	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	3	6	3	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	
1996	18	13	9	0	18	142	0	0	0	0	0	185750	0	0	0	5	0	
1997	4	3	3	0	0	0	0	0	0	0	0	15000	0	0	0	3	0	
1998	8	9	6	0	1	0	0	0	0	0	0	18000	0	0	0	0	0	
1999	10	12	1	0	4	3	0	1	0	0	0	50500	0	0	0	0	0	
2000	14	5	17	0	28	7	0	0	0	0	0	48500	0	0	0	0	0	
2001	10	3	3	0	26	16	0	0	0	0	0	50000	0	0	0	0	0	
2002	5	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	2	2	0	0	2	7	0	0	0	0	0	41000	0	0	0	0	0	
2004	35	18	13	0	31	122	0	0	0	0	0	284000	0	0	0	2	0	
2005	57	51	45	0	118	350	0	64	0	33	0	1813000	0	0	0	21	0	
2006	27	18	12	0	23	61	0	0	0	0	0	244000	0	0	0	4	0	
2007	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	193	0	0	0	456	834	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	405	217	319		711	1542		65		33		2761250				35		

