
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1992	1	0	0	0	0	81	0	81	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	25	0	105	0	0	0	0	0	0	0	0	0	
2009	4	0	0	0	0	33	2	2	0	0	0	0	0	0	0	0	0	
2010	16	0	5	0	0	137	56	95	111	0	0	0	0	0	40	0	0	
2011	12	0	0	0	35	25	60	68	6	6	0	0	0	0	0	0	0	
2012	9	0	0	0	6	22	4	26	0	0	0	0	0	0	0	0	0	
2013	7	6	0	0	15	17	8	21	0	2	0	0	0	0	0	0	0	
2014	4	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	
2015	5	0	0	0	13	0	9	13	0	0	0	0	0	0	0	0	0	
TOTAL	60	6	5		69	344	139	415	117	8					40			

