
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	15	0	0	0	0	0	0	0	0	0	0	513428	0	0	0	0	0	
1986	11	0	0	0	0	0	0	0	0	0	0	705991	0	0	0	0	0	
1990	6	0	0	0	0	0	0	0	0	0	0	2684020	0	0	0	0	0	
1992	7	0	0	0	0	0	0	0	0	0	10288726	21470000	0	0	79996	0	0	
1993	106	0	0	0	0	0	0	0	0	0	0	13206990	0	0	0	0	0	
1994	130	0	0	0	0	0	0	0	0	0	0	141766993	0	0	0	0	0	
1995	18	0	0	0	0	0	0	0	0	0	0	16987713	0	0	0	0	0	
1996	114	0	0	0	0	0	0	0	0	0	0	27517516	0	0	84280	0	0	
1997	7	0	0	0	0	0	0	0	0	0	0	10559997	0	0	84000	0	0	
1999	139	0	0	0	0	0	0	0	0	0	11230261	55675977	0	0	79996	0	0	
2000	112	0	0	0	0	0	0	0	0	0	9498270	100688141	0	0	70847	0	0	
2001	165	0	0	0	0	0	0	0	0	0	0	166881661	0	0	84350	0	0	
2004	8	0	0	0	0	0	0	0	0	0	13481424	22628568	0	0	96000	0	0	
2007	108	0	0	0	0	0	0	0	0	0	2003089	22216908	0	0	0	0	0	
2008	17	0	0	0	0	0	0	0	0	0	0	37962442	0	0	77245	0	0	
2009	134	0	0	0	0	0	0	0	0	0	0	96607995	0	0	84350	0	0	
2010	3	0	0	0	0	0	0	0	0	0	0	6480000	0	0	0	0	0	
2012	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	1121										46501770	744554340			741064			

