
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1959	1	7	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
1966	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
1969	1	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
1975	1	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	
1977	4	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	
1981	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	
1988	5	0	0	0	35	72	0	18	0	0	0	0	0	0	0	0	0	
1989	7	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	
1990	22	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	
1991	21	0	0	0	0	203	0	263	0	0	0	0	0	0	0	0	0	
1992	13	1	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	
1993	11	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	
1994	14	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	
1995	17	0	0	0	6	240	0	0	0	0	0	0	0	0	0	0	0	
1996	8	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	
1997	14	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	
1998	12	18	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	
1999	5	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	
2000	14	2	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	
2001	19	3	0	0	0	190	0	65	0	0	0	0	0	0	0	0	0	
2002	8	2	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	
2003	2	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
2004	10	3	0	0	57	457	0	0	0	0	0	1000000000000	0	0	0	0	0	
2005	10	5	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	
2006	15	15	34	0	0	285	0	0	0	0	0	0	0	0	0	0	0	
2007	16	6	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	
2008	13	7	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	
2009	13	4	0	0	1	54	0	0	0	0	0	0	0	0	0	0	0	
2010	19	14	1	0	348	17	0	18	0	0	0	0	0	0	0	0	0	
2011	25	8	3	0	74	20	0	0	0	0	0	0	0	0	0	7	0	
2012	8	2	0	0	10	20	1	2	0	0	0	0	0	0	0	6	0	
2013	25	18	23	0	1	3	0	45	0	0	0	0	0	0	0	16	0	
2014	29	6	18	0	0	2	5	13	0	0	0	0	0	0	0	1	0	
TOTAL	398	122	79		532	4230	6	424				1000000000000				30		

