
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	4	6	26	2	0	0	0	0	0	0	0	0	0	0	0	1	0	
1992	4	4	30	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1994	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1997	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2001	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	6	13	32	1	0	1	0	0	0	0	0	0	0	0	0	0	0	
2008	5	7	34	0	0	0	0	0	0	0	0	0	0	0	0	53	0	
2009	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	9	21	13	0	0	0	0	51	0	0	0	0	1	0	0	0	0	
2011	40	89	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	3	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	2	11	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
2016	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	
TOTAL	106	219	493	5		11		67					2			55		

